npc_subtype_final,comparison,gene,direction,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ECM/Adh-NPCs,severe_vs_mild,COMP,up_in_severe,2.0045778235769442e-49,2.688427964852007,0.389,0.098,3.683612208604993e-45
ECM/Adh-NPCs,severe_vs_mild,GPX3,up_in_severe,3.709743862935509e-42,3.7407979323182814,0.266,0.05,6.817025322530291e-38
ECM/Adh-NPCs,severe_vs_mild,RPS18,up_in_severe,3.279068679271879e-40,2.691285251351772,0.311,0.076,6.025616605030005e-36
ECM/Adh-NPCs,severe_vs_mild,RPS14,up_in_severe,1.1407268798484953e-36,2.7639996462742733,0.276,0.064,2.096199714409595e-32
ECM/Adh-NPCs,severe_vs_mild,COL1A1,up_in_severe,1.917881410742609e-33,2.6644792547406406,0.22,0.039,3.5242988803806183e-29
ECM/Adh-NPCs,severe_vs_mild,CLU,up_in_severe,1.596426779588491e-32,1.031651572451806,0.924,0.891,2.933593850171811e-28
ECM/Adh-NPCs,severe_vs_mild,BGN,up_in_severe,1.755140749172092e-29,1.7627042477336725,0.359,0.131,3.2252466406786363e-25
ECM/Adh-NPCs,severe_vs_mild,LRP1,up_in_severe,5.263390494647532e-27,2.3825001315773555,0.207,0.046,9.672006372964305e-23
ECM/Adh-NPCs,severe_vs_mild,PCOLCE2,down_in_severe,6.687844359838251e-24,-0.9922878489952289,0.443,0.647,1.228958279563877e-19
ECM/Adh-NPCs,severe_vs_mild,MT2A,up_in_severe,9.949340896370342e-24,1.2701508811430253,0.501,0.269,1.828290883117014e-19
ECM/Adh-NPCs,severe_vs_mild,H3F3B,down_in_severe,1.1155956700840974e-19,-0.8488990929827098,0.603,0.719,2.0500186033465373e-15
ECM/Adh-NPCs,severe_vs_mild,MFGE8,up_in_severe,4.430301836414191e-19,2.3048336866027563,0.158,0.038,8.141122654594718e-15
ECM/Adh-NPCs,severe_vs_mild,MT1X,up_in_severe,1.1109072639049373e-17,1.371256226584126,0.387,0.206,2.0414031881517128e-13
ECM/Adh-NPCs,severe_vs_mild,RPL8,up_in_severe,1.2330168470316787e-17,1.6170864122357977,0.229,0.083,2.2657917581054126e-13
ECM/Adh-NPCs,severe_vs_mild,MT-ND6,up_in_severe,1.416496323069713e-17,1.091425035742243,0.432,0.242,2.6029536432729045e-13
ECM/Adh-NPCs,severe_vs_mild,RPL29,up_in_severe,7.357953180625972e-17,2.1304182371613343,0.19,0.064,1.3520974764718286e-12
ECM/Adh-NPCs,severe_vs_mild,HSP90AA1,down_in_severe,1.6607541647471867e-15,-0.6232717017151304,0.739,0.831,3.05180185313943e-11
ECM/Adh-NPCs,severe_vs_mild,COL6A2,up_in_severe,1.4059776696968372e-14,2.2022134832958056,0.11,0.024,2.583624565834908e-10
ECM/Adh-NPCs,severe_vs_mild,JUNB,up_in_severe,3.0019425404973166e-14,1.4163699805516903,0.283,0.138,5.516369612417869e-10
ECM/Adh-NPCs,severe_vs_mild,FGFBP2,down_in_severe,1.2586808754870688e-13,-0.7544615571060032,0.644,0.773,2.3129519767950375e-9
ECM/Adh-NPCs,severe_vs_mild,ANXA1,down_in_severe,3.008001886549573e-13,-0.9178083585023771,0.525,0.649,5.527504266723495e-9
ECM/Adh-NPCs,severe_vs_mild,PRELP,up_in_severe,7.889971583439913e-13,0.48061894250325654,0.872,0.87,1.4498611781729185e-8
ECM/Adh-NPCs,severe_vs_mild,HSPA8,down_in_severe,1.4273165089441008e-12,-0.9444139645011407,0.371,0.51,2.6228368168356798e-8
ECM/Adh-NPCs,severe_vs_mild,RPS19,up_in_severe,1.986116687305854e-12,1.2873975610645705,0.238,0.111,3.649688024593237e-8
ECM/Adh-NPCs,severe_vs_mild,HMGCS1,down_in_severe,9.592086992834416e-12,-1.0492336479899214,0.216,0.37,1.7626419058032522e-7
ECM/Adh-NPCs,severe_vs_mild,CNMD,down_in_severe,1.766686790637402e-11,-0.8655439907504947,0.147,0.304,3.2464636464752903e-7
ECM/Adh-NPCs,severe_vs_mild,CD81,up_in_severe,2.5405786367101948e-11,1.541492991195244,0.14,0.048,4.668567302818654e-7
ECM/Adh-NPCs,severe_vs_mild,LUM,down_in_severe,5.0886412157540575e-11,-0.501256991371009,0.905,0.901,9.350887098069656e-7
ECM/Adh-NPCs,severe_vs_mild,HSPB1,up_in_severe,6.305241522451945e-11,2.04729141835584,0.102,0.029,1.1586511821657694e-6
