cluster,top_genes,annotation_guess
0,"PPIF, HCAR2, GLA, NSMAF, LUCAT1, ITGAX, TAGAP, PHACTR1, TLR2, CXCR2",needs manual review
1,"FRZB, MT1G, WIF1, SCRG1, S100B, CLEC3A, CP, C2orf40, MGP, CAPS",NP/chondrocyte-like cell candidate
2,"MME, TMCC3, IL1RN, QPCT, VNN2, MARCKS, IL18R1, CCL20, FRMD4B, ACSL1",needs manual review
3,"POSTN, COL1A1, COL12A1, MMP2, TNC, COL3A1, COL1A2, COL15A1, COL6A3, COL6A1",fibroblast/ECM cell candidate
4,"PRG4, ABI3BP, COL2A1, VCAN, FN1, INHBA, COL11A1, ACAN, CILP, TIMP3",NP/chondrocyte-like cell candidate
5,"CAMP, LTF, MMP8, LCN2, HP, OLFM4, CHIT1, RETN, TCN1, CRISP3",needs manual review
6,"CD8A, GNLY, GZMA, CD3D, CD3G, IL7R, CD2, BCL11B, IL2RB, TRBC1",T/NK cell candidate
7,"MMP9, VNN1, S100A12, BMX, CD177, RGL4, CLC, PADI4, ANKRD22, KBTBD7",needs manual review
8,"DEFA4, CTSG, DEFA3, MS4A3, MPO, AZU1, ELANE, RNASE2, RNASE3, CEACAM6",needs manual review
9,"EREG, KYNU, CXCL3, AREG, HLA-DRA, IL1A, CXCL2, CCL3, CCL3L3, THBS1",needs manual review
10,"CA1, CA2, CD36, AHSP, HEMGN, RHAG, PRDX2, GYPA, ANK1, UROD",erythroid/RBC candidate
11,"C1QA, MSR1, C1QC, APOC1, C1QB, MS4A4A, RNASE1, ACP5, GPNMB, LIPA",needs manual review
12,"JCHAIN, IGKC, IGHM, CD79A, MS4A1, SPIB, FAM129C, IRF4, BACH2, BANK1",needs manual review
13,"IFIT1B, TMCC2, AL138900.3, TRIM58, SLFN14, LINC00570, YPEL4, GCNT2, TSPO2, RIPOR3",needs manual review
