p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.637383563490226,0.819,0.194,0,0,AQP9
0,2.8237778164373966,0.779,0.167,0,0,IL1B
0,2.628321714972191,0.792,0.199,0,0,FCGR3B
0,2.3393279493195784,0.941,0.359,0,0,C5AR1
0,2.4022583507868625,0.991,0.41,0,0,NAMPT
0,2.57653678742831,0.976,0.403,0,0,CXCL8
0,2.1079589413142896,0.88,0.322,0,0,G0S2
0,3.680043109090824,0.654,0.104,0,0,HCAR2
0,1.9587577936528184,0.918,0.372,0,0,BCL2A1
0,2.709036378842462,0.916,0.373,0,0,PLAUR
0,2.4987985053248485,0.801,0.264,0,0,CSF3R
0,2.4076928078452866,0.85,0.338,0,0,PLEK
0,3.8419465108710216,0.655,0.155,0,0,PPIF
0,2.15338255981091,0.735,0.276,0,0,TNFAIP3
0,2.061590979914702,0.971,0.514,0,0,IFITM2
0,2.0621316116357864,0.806,0.352,0,0,SMAP2
0,3.0033614490997103,0.574,0.124,0,0,CXCR2
0,2.939463598345143,0.575,0.128,0,0,PRKDC
0,2.0369365069626677,0.746,0.307,0,0,AC026785.2
0,1.536709317746558,0.709,0.273,0,0,FPR1
0,2.0609011429612885,0.753,0.318,0,0,PTGS2
0,1.452423851456305,0.892,0.459,0,0,LCP1
0,1.8254566165373243,0.793,0.362,0,0,MXD1
0,1.7129349825813764,0.756,0.331,0,0,MNDA
0,1.8922098519836816,0.663,0.243,0,0,CLEC4E
0,1.752585932043858,0.996,0.58,0,0,SRGN
0,1.4859046132462095,0.799,0.399,0,0,BASP1
0,0.771896329322252,0.811,0.418,0,0,ALOX5AP
0,1.8623203121117724,0.961,0.568,0,0,SOD2
0,3.2169807618953925,0.451,0.077,0,0,TLR2
0,3.2187223690585873,0.446,0.075,0,0,PHACTR1
0,2.1953219213373387,0.547,0.178,0,0,IL1R2
0,1.4325047150736743,0.722,0.353,0,0,CTSS
0,1.9979213366271718,0.683,0.315,0,0,SYAP1
0,2.7313394237678477,0.981,0.616,0,0,SAT1
0,2.3113757545197005,0.579,0.22,0,0,KDM6B
0,1.6805334178515632,0.702,0.344,0,0,RNF149
0,2.3750671272200496,0.512,0.156,0,0,RIPOR2
0,2.7223898210132025,0.495,0.14,0,0,NABP1
0,1.8202838726334747,0.917,0.563,0,0,LITAF
0,1.6483545169478475,0.786,0.434,0,0,RGS2
0,2.8090124641753436,0.457,0.108,0,0,OSM
0,1.8288660858723587,0.805,0.457,0,0,NFKBIA
0,2.34685768849184,0.595,0.249,0,0,NFE2L2
0,2.0304839533927432,0.793,0.45,0,0,IVNS1ABP
0,2.5843446094372093,0.486,0.143,0,0,PLAU
0,2.1414269933454984,0.648,0.308,0,0,PPP1R15A
0,1.546504749580941,0.81,0.472,0,0,SDCBP
0,2.533393876058505,0.446,0.111,0,0,TREM1
0,1.5571852562706403,0.61,0.275,0,0,SELL
0,2.5043456578057137,0.535,0.201,0,0,CDC42EP3
0,1.554971943356327,0.667,0.333,0,0,HCLS1
0,1.816106137588704,0.786,0.453,0,0,DUSP1
0,2.212304905356988,0.514,0.182,0,0,FGD4
0,1.5393323167156399,0.656,0.326,0,0,SAMSN1
0,1.5360257811690348,0.916,0.589,0,0,CD55
0,2.8939495509069944,0.415,0.089,0,0,FCGR2A
0,2.5818302584573845,0.469,0.143,0,0,ZNF267
0,1.6730587933220784,0.791,0.469,0,0,NEAT1
0,3.24073765822767,0.424,0.105,0,0,TAGAP
0,1.3907381195323318,0.515,0.198,0,0,VNN2
0,2.2707511435545102,0.492,0.179,0,0,ETS2
0,2.2773965748246647,0.453,0.141,0,0,GPR65
0,2.066507147244449,0.539,0.231,0,0,VMP1
0,1.9942006980216167,0.515,0.208,0,0,LCP2
0,1.5721781757739084,0.575,0.268,0,0,NCF2
0,1.5270678623646798,0.621,0.317,0,0,SLC25A37
0,1.5706465904927072,0.596,0.295,0,0,CD53
0,1.9825281754165027,0.615,0.315,0,0,ELL2
0,1.937918697147448,0.564,0.272,0,0,FYB1
0,1.3221136859082798,0.669,0.379,0,0,PTPRC
0,1.2477572085261288,0.625,0.335,0,0,EVI2B
0,3.6016812605401776,0.354,0.064,0,0,NSMAF
0,3.6597621921173635,0.352,0.067,0,0,GLA
0,2.794574043043899,0.37,0.087,0,0,MX2
0,1.4267088427174341,0.775,0.494,0,0,HLA-E
0,2.4844289059784805,0.426,0.148,0,0,CXCL1
0,1.7415414688699322,0.528,0.256,0,0,NR4A3
0,1.5893982905347133,0.527,0.256,0,0,SMCHD1
0,1.8983428901532435,0.576,0.305,0,0,CHD1
0,1.6179983282852204,0.591,0.321,0,0,CXCR4
0,2.255320857450236,0.391,0.123,0,0,FAM129A
