cluster,manual_celltype_v1,rationale
0,Activated myeloid/neutrophil,"CXCR2, TLR2, ITGAX, PPIF; inflammatory myeloid/neutrophil-like signal"
1,NP/chondrocyte-like 1,"FRZB, WIF1, S100B, CLEC3A, SCRG1; NP/chondrocyte-like homeostatic markers"
2,Inflammatory myeloid,"IL1RN, CCL20, VNN2, IL18R1; inflammatory myeloid signal"
3,Fibro-ECM/stromal,"POSTN, COL1A1, COL3A1, MMP2, TNC; collagen/ECM stromal phenotype"
4,NP/chondrocyte-like 2,"COL2A1, ACAN, COL11A1, PRG4, VCAN; NP/chondrocyte-like ECM phenotype"
5,Neutrophil granule-high,"CAMP, LTF, MMP8, LCN2, OLFM4; mature neutrophil granule genes"
6,T/NK cells,"CD8A, GNLY, GZMA, CD3D, CD3G; T/NK lineage markers"
7,Inflammatory neutrophil,"MMP9, S100A12, CD177, PADI4; inflammatory neutrophil markers"
8,Immature neutrophil,"DEFA4, CTSG, MPO, ELANE, MS4A3; immature granulocyte/neutrophil markers"
9,Inflammatory monocyte/macrophage,"EREG, CXCL3, HLA-DRA, IL1A, CCL3; activated inflammatory monocyte/macrophage signal"
10,Erythroid cells,"CA1, CA2, AHSP, HEMGN, GYPA; erythroid lineage markers"
11,C1Q macrophages,"C1QA, C1QB, C1QC, MSR1, APOC1; macrophage/complement markers"
12,B/plasma cells,"JCHAIN, IGKC, IGHM, CD79A, MS4A1; B cell/plasma cell markers"
13,Erythroid/platelet-like,"TRIM58, SLFN14, TSPO2, GCNT2; erythroid/platelet-like low-frequency cluster"
