npc_cluster,article_group,source_whole_cluster,n_cells
0,mild,1,1700
0,mild,3,32
0,mild,4,153
0,severe,1,277
0,severe,3,1
0,severe,4,49
1,mild,1,65
1,mild,3,58
1,mild,4,1135
1,severe,1,20
1,severe,3,52
1,severe,4,465
2,mild,1,1130
2,mild,3,4
2,mild,4,89
2,severe,1,313
2,severe,3,1
2,severe,4,48
3,mild,1,2
3,mild,3,566
3,mild,4,61
3,severe,3,677
3,severe,4,27
4,mild,1,96
4,mild,3,291
4,mild,4,9
4,severe,1,69
4,severe,3,298
4,severe,4,7
5,mild,1,335
5,mild,3,7
5,mild,4,38
5,severe,1,87
5,severe,3,2
5,severe,4,15
6,mild,1,35
6,mild,3,11
6,mild,4,30
6,severe,1,12
6,severe,3,8
6,severe,4,9
7,mild,1,34
7,mild,4,4
7,severe,1,7
7,severe,4,21
8,mild,3,6
8,severe,3,45
