p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.478855236484442,0.802,0.261,0,0,CNMD
0,1.3749258401573865,0.74,0.245,0,0,CLEC3A
0,2.2458272082133632,0.552,0.106,0,0,CP
0,2.0858940454495243,0.494,0.098,0,0,SLC14A1
1.2468878970228811e-303,2.7453436784406517,0.371,0.053,2.2912811995692465e-299,0,FRZB
1.746831183559142e-303,1.2205011202959741,0.935,0.554,3.209976982908279e-299,0,JUND
1.0367336225980933e-291,1.156494585960103,0.975,0.676,1.9051017048862562e-287,0,FOSB
7.38261777714713e-287,1.499476892545922,0.942,0.626,1.3566298427285567e-282,0,EMP1
3.2850997320347207e-283,3.8642815037841283,0.259,0.016,6.0366992675870025e-279,0,CHRDL2
2.0836455727364253e-281,1.1520662530606733,0.965,0.64,3.828907104460455e-277,0,KLF4
4.133370853198162e-272,1.1668964438013902,0.844,0.405,7.595482279836942e-268,0,CDR1
1.796546354089348e-269,1.0940037779661416,0.722,0.256,3.301333580274586e-265,0,ITM2A
8.939038437760386e-265,1.2163007515457744,0.962,0.724,1.6426377033228487e-260,0,CYR61
6.630087730140763e-258,1.3102669464888792,0.724,0.287,1.2183449212906666e-253,0,TRIB1
7.232825450142811e-254,1.8219283400437867,0.434,0.096,1.3291040047182429e-249,0,WIF1
1.642006245839787e-251,1.098818567413101,0.632,0.209,3.0173506773551924e-247,0,GPRC5A
2.927185212690702e-249,0.9267420346697866,0.778,0.317,5.378995546840435e-245,0,ACAN
9.712340949194407e-237,1.7712308959829937,0.378,0.075,1.7847397728239643e-232,0,IGF2
3.9239251092738564e-221,0.9217307343750547,0.787,0.348,7.2106047808016385e-217,0,SRSF5
9.37246373656929e-219,1.3112590191089641,0.351,0.068,1.7222839362319728e-214,0,COL9A2
1.7957247081454264e-217,1.1059387516126593,0.946,0.611,3.2998237236880353e-213,0,EGR1
5.726406087355519e-214,0.9475417593665614,0.706,0.291,1.0522843826124502e-209,0,WSB1
2.481981335630971e-213,1.1271765890169463,0.745,0.342,4.5608889023554726e-209,0,DUSP1
7.654348540799838e-209,1.0950692799949748,0.741,0.324,1.4065630878573782e-204,0,BTG2
8.582501209574906e-204,0.8953696681204726,0.597,0.212,1.5771204222714849e-199,0,SERPINA5
5.5938063095101845e-202,1.0348712859202567,0.866,0.471,1.0279178474355916e-197,0,SOX9
8.4644332681093165e-196,0.8426247644030456,0.618,0.231,1.555424257347768e-191,0,HNRNPH1
1.4581064060180656e-194,0.9705084639624111,0.52,0.173,2.679416331698797e-190,0,ITM2C
1.626010458761871e-192,1.3738228512208717,0.441,0.13,2.9879568190208143e-188,0,TIPARP
1.512973708809279e-191,0.9071859218403739,0.667,0.276,2.780240487307931e-187,0,CPE
2.588748036017476e-191,1.359873697427791,0.364,0.089,4.757083390985714e-187,0,MAPK14
1.8037552998413708e-190,1.1127046700954524,0.684,0.293,3.314580738988503e-186,0,GEM
3.713278694579261e-189,0.7864810723073123,0.807,0.369,6.82352092915885e-185,0,SERPINA1
2.1309798256858483e-179,0.9842293462252585,0.523,0.186,3.915888527680315e-175,0,ODC1
2.2883084597894678e-176,0.7306882424652454,0.924,0.554,4.204995625709126e-172,0,DDX5
2.4861377326641637e-176,0.9674261335443697,0.462,0.15,4.568526697543667e-172,0,WWP2
5.820560461692697e-176,1.0052234875568915,0.427,0.127,1.06958619044065e-171,0,PAX1
6.946009547221663e-176,0.7007454594227784,0.821,0.404,1.2763987143974527e-171,0,HLA-A
2.577994785138822e-174,0.7194930971528186,0.656,0.271,4.737323217171099e-170,0,MAN1A2
1.0100287818206403e-170,0.7234394697285222,0.588,0.23,1.8560288894736086e-166,0,GLS
5.72713488428601e-169,1.0812910146484482,0.368,0.1,1.052418306336397e-164,0,MIDN
8.796726166752903e-169,1.0220029527345618,0.415,0.125,1.6164864004025134e-164,0,TMX4
1.4835846942343148e-168,0.617432696588148,0.791,0.377,2.726235234124977e-164,0,SFPQ
6.031692540963599e-165,0.9343596787700998,0.539,0.207,1.1083838213274711e-160,0,NFIL3
8.631135025037113e-165,0.7524315415297393,0.54,0.203,1.5860573722008198e-160,0,DDX17
8.420836247857042e-164,0.9151817728647096,0.601,0.248,1.54741286890621e-159,0,KLF10
1.1172810858913193e-163,0.7151663094065079,0.799,0.398,2.0531157234338884e-159,0,EIF5
5.551023443060679e-160,0.629934618591903,0.739,0.344,1.0200560678968305e-155,0,DDX3X
2.444195493566785e-159,0.9960739646930037,0.948,0.705,4.491453638978324e-155,0,ANXA1
2.5004768397989424e-159,0.9279572426758684,0.654,0.289,4.594876240814537e-155,0,FHL1
1.727443762688079e-158,0.695162052079644,0.722,0.331,3.174350658315614e-154,0,PNRC2
8.043861295865111e-157,0.6637519419636639,0.949,0.647,1.4781399517281728e-152,0,EEF1A1
1.2502273573189513e-155,1.0953237250019605,0.329,0.086,2.2974177918093048e-151,0,TUBB2B
2.6099408596563744e-155,0.7579983189085073,0.539,0.21,4.796027323704554e-151,0,PRNP
4.326055647025804e-155,0.6758267568450511,0.526,0.199,7.949559856974618e-151,0,HSPA9
4.630891909560142e-155,0.6308704956708451,0.79,0.394,8.509726973007717e-151,0,HLA-B
5.4237163611414485e-154,0.7402069782637433,0.507,0.191,9.966621185233527e-150,0,HIF1A
1.2366995749540537e-153,0.5822986130110719,0.649,0.282,2.272559138935569e-149,0,HNRNPA1
1.3329319652499353e-151,0.644697924767808,0.968,0.784,2.4493957793432813e-147,0,ACTB
