p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.2850997320347207e-283,3.8642815037841283,0.259,0.016,6.0366992675870025e-279,0,CHRDL2
1.2468878970228811e-303,2.7453436784406517,0.371,0.053,2.2912811995692465e-299,0,FRZB
0,2.2458272082133632,0.552,0.106,0,0,CP
0,2.0858940454495243,0.494,0.098,0,0,SLC14A1
7.232825450142811e-254,1.8219283400437867,0.434,0.096,1.3291040047182429e-249,0,WIF1
9.712340949194407e-237,1.7712308959829937,0.378,0.075,1.7847397728239643e-232,0,IGF2
7.38261777714713e-287,1.499476892545922,0.942,0.626,1.3566298427285567e-282,0,EMP1
0,1.478855236484442,0.802,0.261,0,0,CNMD
0,1.3749258401573865,0.74,0.245,0,0,CLEC3A
1.626010458761871e-192,1.3738228512208717,0.441,0.13,2.9879568190208143e-188,0,TIPARP
5.2829883955132724e-120,1.3726341799297164,0.273,0.076,9.70801947559519e-116,0,PPP1R3C
2.588748036017476e-191,1.359873697427791,0.364,0.089,4.757083390985714e-187,0,MAPK14
9.37246373656929e-219,1.3112590191089641,0.351,0.068,1.7222839362319728e-214,0,COL9A2
6.630087730140763e-258,1.3102669464888792,0.724,0.287,1.2183449212906666e-253,0,TRIB1
1.746831183559142e-303,1.2205011202959741,0.935,0.554,3.209976982908279e-299,0,JUND
5.073795690342825e-221,2.951845655286137,0.653,0.368,9.323606960573976e-217,1,PRG4
2.0633173064764957e-238,2.4919470413156812,0.729,0.529,3.7915518823812084e-234,1,ABI3BP
5.927785777300617e-20,1.8649450146774362,0.348,0.312,1.0892899144367614e-15,1,VCAN
0,1.6491440456118536,0.978,0.921,0,1,FN1
1.6882333967477742e-79,1.537352532518005,0.586,0.478,3.10229768986371e-75,1,COL2A1
2.7950150081095016e-129,1.5359545231211191,0.725,0.593,5.13611957890202e-125,1,INHBA
8.540835699314156e-26,1.4287076214001075,0.421,0.366,1.5694639681059691e-21,1,CILP
3.614994071399809e-9,1.4283357857258223,0.324,0.321,6.642913105604289e-5,1,HMGCS1
1.301161119312035e-31,1.4244277121831508,0.451,0.408,2.3910136728477958e-27,1,COL11A1
7.410354392145314e-5,1.2892476503243497,0.26,0.255,1,1,LTBP2
1.3961560303702079e-31,1.2871464654134215,0.528,0.534,2.565576321408294e-27,1,TIMP3
5.491915395276887e-10,1.245421241064153,0.433,0.484,1.0091943730360808e-5,1,CCDC80
