p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.8419465108710216,0.655,0.155,0,0,PPIF
0,3.680043109090824,0.654,0.104,0,0,HCAR2
0,3.6597621921173635,0.352,0.067,0,0,GLA
0,3.6016812605401776,0.354,0.064,0,0,NSMAF
0,3.2967194227529815,0.307,0.048,0,0,LUCAT1
0,3.254712211512134,0.271,0.051,0,0,ITGAX
0,3.24073765822767,0.424,0.105,0,0,TAGAP
0,3.2187223690585873,0.446,0.075,0,0,PHACTR1
0,3.2169807618953925,0.451,0.077,0,0,TLR2
0,3.0033614490997103,0.574,0.124,0,0,CXCR2
0,5.391344969006873,0.259,0.008,0,1,FRZB
0,4.935113695855311,0.415,0.021,0,1,MT1G
0,4.231217502546715,0.285,0.009,0,1,WIF1
0,4.1857521024127875,0.936,0.143,0,1,SCRG1
0,4.183002667786421,0.601,0.022,0,1,S100B
0,4.088049825804329,0.577,0.034,0,1,CLEC3A
0,4.058179602407932,0.33,0.013,0,1,CP
0,4.030971412537955,0.894,0.097,0,1,C2orf40
0,3.9631539252977026,0.918,0.155,0,1,MGP
0,3.945683693046286,0.252,0.012,0,1,CAPS
0,2.9163145943065523,0.584,0.088,0,2,MME
0,2.6708076006810195,0.464,0.085,0,2,TMCC3
0,2.662278775686605,0.404,0.076,0,2,IL1RN
0,2.5801217515657564,0.474,0.113,0,2,QPCT
0,2.573831631062581,0.766,0.167,0,2,VNN2
0,2.517934485502089,0.698,0.22,0,2,MARCKS
0,2.5014158149515566,0.338,0.079,0,2,IL18R1
0,2.492301120208502,0.37,0.074,0,2,CCL20
0,2.4197424681706283,0.302,0.095,0,2,FRMD4B
0,2.381924529725554,0.729,0.21,0,2,ACSL1
0,6.906249702844459,0.375,0.017,0,3,POSTN
0,6.80436331310511,0.841,0.114,0,3,COL1A1
0,6.00502423453997,0.325,0.011,0,3,COL12A1
0,5.992537326877045,0.368,0.03,0,3,MMP2
0,5.688769583838049,0.509,0.026,0,3,TNC
0,5.513811320497605,0.907,0.19,0,3,COL3A1
0,5.512302689179822,0.933,0.174,0,3,COL1A2
0,5.082139535601053,0.31,0.018,0,3,COL15A1
0,5.076235526246498,0.663,0.057,0,3,COL6A3
0,4.715382057647917,0.644,0.077,0,3,COL6A1
0,5.10380369572785,0.591,0.158,0,4,PRG4
0,4.241358541861476,0.687,0.19,0,4,ABI3BP
0,3.621666367808375,0.612,0.197,0,4,COL2A1
1.9530002204011625e-306,3.4659953787709785,0.336,0.106,3.5888332050091763e-302,4,VCAN
0,3.4544751388267283,0.957,0.392,0,4,FN1
0,3.3985472182607466,0.645,0.195,0,4,INHBA
0,3.3638007569855386,0.441,0.124,0,4,COL11A1
0,3.3253131362368107,0.486,0.16,0,4,ACAN
0,3.299405708093005,0.403,0.118,0,4,CILP
0,3.206349810690818,0.498,0.154,0,4,TIMP3
0,6.331715083960082,0.945,0.073,0,5,CAMP
0,6.057750662117746,0.999,0.146,0,5,LTF
0,5.958435342641321,0.929,0.035,0,5,MMP8
0,5.636092356956038,0.758,0.046,0,5,LCN2
0,5.342324189594276,0.689,0.021,0,5,HP
0,5.324960882858707,0.397,0.023,0,5,OLFM4
0,5.142415776901283,0.294,0.009,0,5,CHIT1
0,5.066438736910062,0.261,0.01,0,5,RETN
0,4.97903427905899,0.634,0.026,0,5,TCN1
0,4.970233536871209,0.931,0.065,0,5,CRISP3
0,9.710991699706783,0.286,0.001,0,6,CD8A
0,9.625449162891286,0.301,0.002,0,6,GNLY
0,9.583291659137105,0.285,0.001,0,6,GZMA
0,9.292991943916133,0.25,0.001,0,6,CD3D
0,9.205556376478333,0.253,0.001,0,6,CD3G
0,9.121769206553417,0.52,0.004,0,6,IL7R
0,9.05391112698969,0.297,0.001,0,6,CD2
0,8.9072542640253225,0.384,0.001,0,6,BCL11B
0,8.891839428968972,0.272,0.001,0,6,IL2RB
0,8.860621919257419,0.28,0.001,0,6,TRBC1
0,3.772856181959483,0.902,0.145,0,7,MMP9
0,3.398184153597966,0.424,0.053,0,7,VNN1
0,3.333470370064249,0.937,0.202,0,7,S100A12
0,3.272893254126892,0.372,0.042,0,7,BMX
0,3.032864176522258,0.527,0.08,0,7,CD177
0,2.916342995183114,0.261,0.041,0,7,RGL4
0,2.855839046256676,0.355,0.047,0,7,CLC
0,2.7745179714630552,0.748,0.146,0,7,PADI4
0,2.721661920598863,0.28,0.046,0,7,ANKRD22
4.557208946485764e-307,2.5616032244764115,0.272,0.052,8.37432716006224e-303,7,KBTBD7
0,8.165538863590024,0.652,0.032,0,8,DEFA4
0,8.095999442475259,0.527,0.019,0,8,CTSG
0,8.091983871883624,0.662,0.061,0,8,DEFA3
0,6.172611776592822,0.72,0.028,0,8,MS4A3
0,5.9082138444829075,0.691,0.075,0,8,MPO
0,5.813992664670475,0.335,0.055,0,8,AZU1
0,5.803158768735308,0.416,0.053,0,8,ELANE
0,5.540274943399332,0.695,0.031,0,8,RNASE2
0,5.4139830538258105,0.553,0.017,0,8,RNASE3
0,5.329541537382495,0.62,0.036,0,8,CEACAM6
0,6.356860737035738,0.48,0.019,0,9,EREG
0,5.496470457540675,0.262,0.005,0,9,KYNU
0,5.049170293088945,0.312,0.03,0,9,CXCL3
0,4.896959127718103,0.385,0.028,0,9,AREG
0,3.882299021594165,0.565,0.053,0,9,HLA-DRA
1.5907608124012893e-294,3.723590669395559,0.261,0.037,2.923182068868609e-290,9,IL1A
0,3.678865066253576,0.442,0.092,0,9,CXCL2
0,3.5482364167551244,0.309,0.042,0,9,CCL3
4.352717884892851e-203,3.4826225241232076,0.271,0.055,7.998554385279104e-199,9,CCL3L3
1.771328778498341e-166,3.4438241504534512,0.259,0.06,3.2549937633685515e-162,9,THBS1
0,6.8186493802618875,0.76,0.029,0,10,CA1
0,6.350133790501703,0.551,0.016,0,10,CA2
0,5.968067163774263,0.573,0.02,0,10,CD36
0,5.964045246328013,0.549,0.017,0,10,AHSP
0,5.8564684785138805,0.499,0.014,0,10,HEMGN
0,5.773478538469966,0.436,0.011,0,10,RHAG
0,5.6829357962079285,0.496,0.035,0,10,PRDX2
0,5.5653943369814,0.404,0.011,0,10,GYPA
0,5.511705598937082,0.26,0.009,0,10,ANK1
0,5.382329820273338,0.444,0.032,0,10,UROD
0,9.349329872489324,0.349,0.002,0,11,C1QA
0,9.331591255478475,0.395,0.002,0,11,MSR1
0,9.074638506471231,0.479,0.003,0,11,C1QC
0,8.56231189294793,0.308,0.002,0,11,APOC1
0,8.514337005585492,0.349,0.003,0,11,C1QB
0,7.947732135237281,0.281,0.003,0,11,MS4A4A
0,7.701917514032492,0.429,0.006,0,11,RNASE1
0,7.579577331746817,0.262,0.004,0,11,ACP5
0,6.624104969877591,0.552,0.015,0,11,GPNMB
0,6.547678703105531,0.346,0.015,0,11,LIPA
0,10.120952226105075,0.269,0.004,0,12,JCHAIN
0,9.69924343947166,0.495,0.046,0,12,IGKC
0,9.494657342470132,0.369,0.001,0,12,IGHM
0,9.398373554677447,0.474,0.002,0,12,CD79A
0,9.310006445575361,0.347,0.001,0,12,MS4A1
0,8.190581952170032,0.369,0.001,0,12,SPIB
0,7.916216266326827,0.287,0.001,0,12,FAM129C
0,6.027622637611534,0.32,0.006,0,12,IRF4
0,6.008072257535931,0.293,0.008,0,12,BACH2
0,5.977500865904229,0.302,0.011,0,12,BANK1
0,11.534964248694573,0.711,0.001,0,13,IFIT1B
0,10.572813859396419,0.822,0.005,0,13,TMCC2
0,9.626251458230238,0.438,0.001,0,13,AL138900.3
0,9.42761260588124,0.816,0.003,0,13,TRIM58
0,8.772338038430421,0.25,0,0,13,SLFN14
