source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,group
Fibro-reg NPCs,Eff-NPCs,TGFB2,TGFbR1_R2,4.592122475418957e-8,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350,mild
Fibro-reg NPCs,Ht-NPCs,TGFB2,TGFbR1_R2,2.427128566908826e-9,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350,mild
Fibro-reg NPCs,Fibro-reg NPCs,TGFB2,TGFbR1_R2,6.563815540788234e-8,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350,mild
Fibro-reg NPCs,Hom/Reg-like NPCs,TGFB2,TGFbR1_R2,1.6584289448038534e-7,0,TGFB2_TGFBR1_TGFBR2,TGFB2 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350,mild
Fibro-reg NPCs,Eff-NPCs,TGFB2,ACVR1_TGFbR,2.748122785961307e-7,0,TGFB2_ACVR1_TGFBR1,TGFB2 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829,mild
Fibro-reg NPCs,Fibro-reg NPCs,TGFB2,ACVR1_TGFbR,1.155607149062873e-6,0,TGFB2_ACVR1_TGFBR1,TGFB2 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829,mild
Fibro-reg NPCs,Hom/Reg-like NPCs,TGFB2,ACVR1_TGFbR,4.379127553246667e-6,0,TGFB2_ACVR1_TGFBR1,TGFB2 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829,mild
Hom/Reg-like NPCs,ECM/Adh-NPCs,FGF1,FGFR1,3.387156918099766e-6,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Hom-NPCs,FGF1,FGFR1,1.0841428311319838e-6,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom-NPCs,Eff-NPCs,FGF1,FGFR1,3.705393381655654e-6,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Ht-NPCs,Eff-NPCs,FGF1,FGFR1,6.615125565402989e-7,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Eff-NPCs,FGF1,FGFR1,5.821793407038057e-6,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom-NPCs,Ht-NPCs,FGF1,FGFR1,4.646677640575387e-7,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Ht-NPCs,Ht-NPCs,FGF1,FGFR1,8.292881039990274e-8,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Ht-NPCs,FGF1,FGFR1,7.3006989052452e-7,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom-NPCs,Fibro-reg NPCs,FGF1,FGFR1,5.926249527643032e-6,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Ht-NPCs,Fibro-reg NPCs,FGF1,FGFR1,1.05727315232473e-6,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Fibro-reg NPCs,FGF1,FGFR1,9.311104283943742e-6,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom-NPCs,Hom/Reg-like NPCs,FGF1,FGFR1,3.143876095847349e-5,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Ht-NPCs,Hom/Reg-like NPCs,FGF1,FGFR1,5.6075779925315065e-6,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Hom/Reg-like NPCs,FGF1,FGFR1,4.939537429287669e-5,0,FGF1_FGFR1,FGF1 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom-NPCs,Hom/Reg-like NPCs,FGF1,FGFR2,5.54947245453455e-6,0,FGF1_FGFR2,FGF1 - FGFR2,FGF,Secreted Signaling,PMC: 4393358,mild
Ht-NPCs,Hom/Reg-like NPCs,FGF1,FGFR2,9.91614450188178e-7,0,FGF1_FGFR2,FGF1 - FGFR2,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Hom/Reg-like NPCs,FGF1,FGFR2,8.719182140820356e-6,0,FGF1_FGFR2,FGF1 - FGFR2,FGF,Secreted Signaling,PMC: 4393358,mild
Eff-NPCs,Eff-NPCs,FGF2,FGFR1,3.410615647703388e-5,0,FGF2_FGFR1,FGF2 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Eff-NPCs,FGF2,FGFR1,1.7366275083288146e-4,0,FGF2_FGFR1,FGF2 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
ECM/Adh-NPCs,Fibro-reg NPCs,FGF2,FGFR1,9.916278730159262e-5,0,FGF2_FGFR1,FGF2 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom-NPCs,Fibro-reg NPCs,FGF2,FGFR1,9.44648639325013e-5,0,FGF2_FGFR1,FGF2 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Eff-NPCs,Fibro-reg NPCs,FGF2,FGFR1,5.4324173060827364e-5,0,FGF2_FGFR1,FGF2 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Fibro-reg NPCs,FGF2,FGFR1,2.7657837236163033e-4,0,FGF2_FGFR1,FGF2 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
ECM/Adh-NPCs,Hom/Reg-like NPCs,FGF2,FGFR1,5.256791972691172e-4,0,FGF2_FGFR1,FGF2 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom-NPCs,Hom/Reg-like NPCs,FGF2,FGFR1,5.007824301712918e-4,0,FGF2_FGFR1,FGF2 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Eff-NPCs,Hom/Reg-like NPCs,FGF2,FGFR1,2.8780190851452275e-4,0,FGF2_FGFR1,FGF2 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Ht-NPCs,Hom/Reg-like NPCs,FGF2,FGFR1,1.4526417159923605e-5,0,FGF2_FGFR1,FGF2 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Hom/Reg-like NPCs,FGF2,FGFR1,0.0014652199268232668,0,FGF2_FGFR1,FGF2 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
ECM/Adh-NPCs,Hom/Reg-like NPCs,FGF2,FGFR2,9.333106649503047e-5,0,FGF2_FGFR2,FGF2 - FGFR2,FGF,Secreted Signaling,PMC: 4393358,mild
Hom-NPCs,Hom/Reg-like NPCs,FGF2,FGFR2,8.889972501706485e-5,0,FGF2_FGFR2,FGF2 - FGFR2,FGF,Secreted Signaling,PMC: 4393358,mild
Eff-NPCs,Hom/Reg-like NPCs,FGF2,FGFR2,5.135607989754172e-5,0,FGF2_FGFR2,FGF2 - FGFR2,FGF,Secreted Signaling,PMC: 4393358,mild
Ht-NPCs,Hom/Reg-like NPCs,FGF2,FGFR2,2.577713776273876e-6,0,FGF2_FGFR2,FGF2 - FGFR2,FGF,Secreted Signaling,PMC: 4393358,mild
Fibro-reg NPCs,Hom/Reg-like NPCs,FGF2,FGFR2,1.4193245297303789e-5,0,FGF2_FGFR2,FGF2 - FGFR2,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Hom/Reg-like NPCs,FGF2,FGFR2,2.6153516423554055e-4,0,FGF2_FGFR2,FGF2 - FGFR2,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,ECM/Adh-NPCs,FGF7,FGFR1,1.4994187637155409e-5,0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Hom-NPCs,FGF7,FGFR1,4.799790121334208e-6,0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Eff-NPCs,FGF7,FGFR1,2.5751830015520132e-5,0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Ht-NPCs,FGF7,FGFR1,3.2285844204733158e-6,0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Fibro-NPCs,FGF7,FGFR1,2.977455185987873e-6,0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Fibro-reg NPCs,FGF7,FGFR1,4.1165600233763195e-5,0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Hom/Reg-like NPCs,FGF7,FGFR1,2.183473515767072e-4,0,FGF7_FGFR1,FGF7 - FGFR1,FGF,Secreted Signaling,PMC: 4393358,mild
Hom/Reg-like NPCs,Hom/Reg-like NPCs,FGF7,FGFR2,3.859329640158224e-5,0,FGF7_FGFR2,FGF7 - FGFR2,FGF,Secreted Signaling,PMC: 4393358,mild
Fibro-reg NPCs,Eff-NPCs,PDGFA,PDGFRA,6.687541381344827e-8,0,PDGFA_PDGFRA,PDGFA - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Fibro-reg NPCs,Fibro-reg NPCs,PDGFA,PDGFRA,8.152858986618158e-7,0,PDGFA_PDGFRA,PDGFA - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Fibro-reg NPCs,Hom/Reg-like NPCs,PDGFA,PDGFRA,2.1963501560628924e-7,0,PDGFA_PDGFRA,PDGFA - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Ht-NPCs,Eff-NPCs,PDGFC,PDGFRA,1.0043867496056767e-8,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Fibro-reg NPCs,Eff-NPCs,PDGFC,PDGFRA,2.443451128576537e-7,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Hom/Reg-like NPCs,Eff-NPCs,PDGFC,PDGFRA,6.192981453720017e-7,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Hom-NPCs,Fibro-reg NPCs,PDGFC,PDGFRA,1.749747585797735e-7,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Ht-NPCs,Fibro-reg NPCs,PDGFC,PDGFRA,1.2240838812293637e-7,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Fibro-reg NPCs,Fibro-reg NPCs,PDGFC,PDGFRA,2.9744149887723187e-6,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Hom/Reg-like NPCs,Fibro-reg NPCs,PDGFC,PDGFRA,7.545906360422898e-6,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Hom-NPCs,Hom/Reg-like NPCs,PDGFC,PDGFRA,4.711282295042692e-8,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Ht-NPCs,Hom/Reg-like NPCs,PDGFC,PDGFRA,3.2986580282009536e-8,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Fibro-reg NPCs,Hom/Reg-like NPCs,PDGFC,PDGFRA,8.024993383298316e-7,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
Hom/Reg-like NPCs,Hom/Reg-like NPCs,PDGFC,PDGFRA,2.033934694016185e-6,0,PDGFC_PDGFRA,PDGFC - PDGFRA,PDGF,Secreted Signaling,PMID: 15207812,mild
ECM/Adh-NPCs,Fibro-reg NPCs,IGF2,IGF2R,2.5343983312143766e-6,0,IGF2_IGF2R,IGF2 - IGF2R,IGF,Secreted Signaling,PMID: 14604834,mild
Eff-NPCs,Fibro-reg NPCs,IGF2,IGF2R,1.646418875462849e-7,0,IGF2_IGF2R,IGF2 - IGF2R,IGF,Secreted Signaling,PMID: 14604834,mild
Ht-NPCs,Fibro-reg NPCs,IGF2,IGF2R,1.490687376555553e-7,0,IGF2_IGF2R,IGF2 - IGF2R,IGF,Secreted Signaling,PMID: 14604834,mild
Hom/Reg-like NPCs,Fibro-reg NPCs,IGF2,IGF2R,3.6892425733020274e-5,0,IGF2_IGF2R,IGF2 - IGF2R,IGF,Secreted Signaling,PMID: 14604834,mild
Eff-NPCs,Eff-NPCs,IL6,IL6R_IL6ST,5.141095406942003e-6,0,IL6_IL6R_IL6ST,IL6 - (IL6R+IL6ST),IL6,Secreted Signaling,KEGG: hsa04060,mild
Eff-NPCs,Fibro-reg NPCs,IL6,IL6R_IL6ST,1.3865353755589529e-6,0,IL6_IL6R_IL6ST,IL6 - (IL6R+IL6ST),IL6,Secreted Signaling,KEGG: hsa04060,mild
Eff-NPCs,Hom/Reg-like NPCs,IL6,IL6R_IL6ST,2.917693733464133e-5,0,IL6_IL6R_IL6ST,IL6 - (IL6R+IL6ST),IL6,Secreted Signaling,KEGG: hsa04060,mild
ECM/Adh-NPCs,Fibro-reg NPCs,LIF,LIFR_IL6ST,1.7000643570189456e-5,0,LIF_LIFR_IL6ST,LIF - (LIFR+IL6ST),LIFR,Secreted Signaling,KEGG: hsa04060,mild
Hom-NPCs,Fibro-reg NPCs,LIF,LIFR_IL6ST,3.298646954495307e-6,0,LIF_LIFR_IL6ST,LIF - (LIFR+IL6ST),LIFR,Secreted Signaling,KEGG: hsa04060,mild
Eff-NPCs,Fibro-reg NPCs,LIF,LIFR_IL6ST,4.06316718376158e-5,0,LIF_LIFR_IL6ST,LIF - (LIFR+IL6ST),LIFR,Secreted Signaling,KEGG: hsa04060,mild
Fibro-NPCs,Fibro-reg NPCs,LIF,LIFR_IL6ST,2.887757832724168e-6,0,LIF_LIFR_IL6ST,LIF - (LIFR+IL6ST),LIFR,Secreted Signaling,KEGG: hsa04060,mild
Fibro-reg NPCs,Fibro-reg NPCs,LIF,LIFR_IL6ST,8.01519878053069e-6,0,LIF_LIFR_IL6ST,LIF - (LIFR+IL6ST),LIFR,Secreted Signaling,KEGG: hsa04060,mild
Hom/Reg-like NPCs,Fibro-reg NPCs,LIF,LIFR_IL6ST,1.3457706307518283e-5,0,LIF_LIFR_IL6ST,LIF - (LIFR+IL6ST),LIFR,Secreted Signaling,KEGG: hsa04060,mild
Hom-NPCs,ECM/Adh-NPCs,SPP1,CD44,1.385741929816396e-6,0,SPP1_CD44,SPP1 - CD44,SPP1,Secreted Signaling,PMID: 21907263,mild
Eff-NPCs,ECM/Adh-NPCs,SPP1,CD44,2.6148944770943844e-6,0,SPP1_CD44,SPP1 - CD44,SPP1,Secreted Signaling,PMID: 21907263,mild
