source,target,interaction_name_2,pathway_name,pair_key,prob_mild,prob_severe,pval_mild,pval_severe,prob_delta_severe_minus_mild,severe_specific_or_enhanced
Fibro-NPCs,Fibro-NPCs,CD99 - CD99,CD99,Fibro-NPCs|Fibro-NPCs|CD99 - CD99|CD99,0,0.005122579281963552,NA,0,0.005122579281963552,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL1A1 - (ITGA10+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL1A1 - (ITGA10+ITGB1)|COLLAGEN,3.9858798881442996e-4,0.0032946814442610544,0,0,0.0028960934554466246,TRUE
Fibro-NPCs,Fibro-reg NPCs,CD99 - CD99,CD99,Fibro-NPCs|Fibro-reg NPCs|CD99 - CD99|CD99,4.0266811187904256e-4,0.0032269065126267625,0,0,0.00282423840074772,TRUE
Fibro-reg NPCs,Fibro-NPCs,CD99 - CD99,CD99,Fibro-reg NPCs|Fibro-NPCs|CD99 - CD99|CD99,4.0266811187904256e-4,0.0032269065126267625,0,0,0.00282423840074772,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL1A2 - (ITGA10+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL1A2 - (ITGA10+ITGB1)|COLLAGEN,4.6731760397600693e-4,0.0032672160379815765,0,0,0.0027998984340055696,TRUE
Fibro-NPCs,Fibro-reg NPCs,FN1 - (ITGA5+ITGB1),FN1,Fibro-NPCs|Fibro-reg NPCs|FN1 - (ITGA5+ITGB1)|FN1,3.123930929964026e-4,0.00300323693651091,0,0,0.0026908438435145074,TRUE
Fibro-NPCs,Fibro-reg NPCs,FN1 - (ITGAV+ITGB1),FN1,Fibro-NPCs|Fibro-reg NPCs|FN1 - (ITGAV+ITGB1)|FN1,5.337445253042273e-4,0.0031221463524327567,0,0,0.0025884018271285295,TRUE
Fibro-NPCs,Hom/Reg-like NPCs,CD99 - CD99,CD99,Fibro-NPCs|Hom/Reg-like NPCs|CD99 - CD99|CD99,0,0.0023336522390395523,NA,0,0.0023336522390395523,TRUE
Hom/Reg-like NPCs,Fibro-NPCs,CD99 - CD99,CD99,Hom/Reg-like NPCs|Fibro-NPCs|CD99 - CD99|CD99,0,0.0023336522390395523,NA,0,0.0023336522390395523,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL1A1 - (ITGA11+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL1A1 - (ITGA11+ITGB1)|COLLAGEN,2.6529339196406255e-4,0.0025342556861764312,0,0,0.0022689622942123687,TRUE
Fibro-NPCs,Fibro-reg NPCs,COL1A2 - (ITGA11+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL1A2 - (ITGA11+ITGB1)|COLLAGEN,3.12065828708135e-4,0.002512741616898042,0,0,0.002200675788189907,TRUE
