source,target,value,group,metric
ECM/Adh-NPCs,ECM/Adh-NPCs,0,mild,count
Hom-NPCs,ECM/Adh-NPCs,2,mild,count
Eff-NPCs,ECM/Adh-NPCs,3,mild,count
Ht-NPCs,ECM/Adh-NPCs,1,mild,count
Fibro-NPCs,ECM/Adh-NPCs,2,mild,count
Fibro-reg NPCs,ECM/Adh-NPCs,5,mild,count
Hom/Reg-like NPCs,ECM/Adh-NPCs,3,mild,count
ECM/Adh-NPCs,Hom-NPCs,3,mild,count
Hom-NPCs,Hom-NPCs,3,mild,count
Eff-NPCs,Hom-NPCs,7,mild,count
Ht-NPCs,Hom-NPCs,2,mild,count
Fibro-NPCs,Hom-NPCs,14,mild,count
Fibro-reg NPCs,Hom-NPCs,22,mild,count
Hom/Reg-like NPCs,Hom-NPCs,12,mild,count
ECM/Adh-NPCs,Eff-NPCs,13,mild,count
Hom-NPCs,Eff-NPCs,10,mild,count
Eff-NPCs,Eff-NPCs,16,mild,count
Ht-NPCs,Eff-NPCs,13,mild,count
Fibro-NPCs,Eff-NPCs,20,mild,count
Fibro-reg NPCs,Eff-NPCs,38,mild,count
Hom/Reg-like NPCs,Eff-NPCs,25,mild,count
ECM/Adh-NPCs,Ht-NPCs,0,mild,count
Hom-NPCs,Ht-NPCs,2,mild,count
Eff-NPCs,Ht-NPCs,7,mild,count
Ht-NPCs,Ht-NPCs,3,mild,count
Fibro-NPCs,Ht-NPCs,9,mild,count
Fibro-reg NPCs,Ht-NPCs,19,mild,count
Hom/Reg-like NPCs,Ht-NPCs,10,mild,count
ECM/Adh-NPCs,Fibro-NPCs,5,mild,count
Hom-NPCs,Fibro-NPCs,6,mild,count
Eff-NPCs,Fibro-NPCs,6,mild,count
Ht-NPCs,Fibro-NPCs,5,mild,count
Fibro-NPCs,Fibro-NPCs,7,mild,count
Fibro-reg NPCs,Fibro-NPCs,15,mild,count
Hom/Reg-like NPCs,Fibro-NPCs,7,mild,count
ECM/Adh-NPCs,Fibro-reg NPCs,28,mild,count
Hom-NPCs,Fibro-reg NPCs,25,mild,count
Eff-NPCs,Fibro-reg NPCs,41,mild,count
Ht-NPCs,Fibro-reg NPCs,39,mild,count
Fibro-NPCs,Fibro-reg NPCs,40,mild,count
Fibro-reg NPCs,Fibro-reg NPCs,68,mild,count
Hom/Reg-like NPCs,Fibro-reg NPCs,49,mild,count
ECM/Adh-NPCs,Hom/Reg-like NPCs,16,mild,count
Hom-NPCs,Hom/Reg-like NPCs,14,mild,count
Eff-NPCs,Hom/Reg-like NPCs,16,mild,count
Ht-NPCs,Hom/Reg-like NPCs,16,mild,count
Fibro-NPCs,Hom/Reg-like NPCs,21,mild,count
Fibro-reg NPCs,Hom/Reg-like NPCs,41,mild,count
Hom/Reg-like NPCs,Hom/Reg-like NPCs,25,mild,count
ECM/Adh-NPCs,ECM/Adh-NPCs,1,severe,count
Hom-NPCs,ECM/Adh-NPCs,0,severe,count
Eff-NPCs,ECM/Adh-NPCs,0,severe,count
Ht-NPCs,ECM/Adh-NPCs,3,severe,count
Fibro-NPCs,ECM/Adh-NPCs,0,severe,count
Fibro-reg NPCs,ECM/Adh-NPCs,4,severe,count
Hom/Reg-like NPCs,ECM/Adh-NPCs,3,severe,count
ECM/Adh-NPCs,Hom-NPCs,6,severe,count
Hom-NPCs,Hom-NPCs,1,severe,count
Eff-NPCs,Hom-NPCs,3,severe,count
Ht-NPCs,Hom-NPCs,6,severe,count
Fibro-NPCs,Hom-NPCs,11,severe,count
Fibro-reg NPCs,Hom-NPCs,19,severe,count
Hom/Reg-like NPCs,Hom-NPCs,10,severe,count
ECM/Adh-NPCs,Eff-NPCs,6,severe,count
Hom-NPCs,Eff-NPCs,4,severe,count
Eff-NPCs,Eff-NPCs,4,severe,count
Ht-NPCs,Eff-NPCs,14,severe,count
Fibro-NPCs,Eff-NPCs,11,severe,count
Fibro-reg NPCs,Eff-NPCs,27,severe,count
Hom/Reg-like NPCs,Eff-NPCs,13,severe,count
ECM/Adh-NPCs,Ht-NPCs,4,severe,count
Hom-NPCs,Ht-NPCs,0,severe,count
Eff-NPCs,Ht-NPCs,2,severe,count
Ht-NPCs,Ht-NPCs,6,severe,count
Fibro-NPCs,Ht-NPCs,6,severe,count
Fibro-reg NPCs,Ht-NPCs,15,severe,count
Hom/Reg-like NPCs,Ht-NPCs,8,severe,count
ECM/Adh-NPCs,Fibro-NPCs,2,severe,count
Hom-NPCs,Fibro-NPCs,1,severe,count
Eff-NPCs,Fibro-NPCs,1,severe,count
Ht-NPCs,Fibro-NPCs,4,severe,count
Fibro-NPCs,Fibro-NPCs,3,severe,count
Fibro-reg NPCs,Fibro-NPCs,4,severe,count
Hom/Reg-like NPCs,Fibro-NPCs,4,severe,count
ECM/Adh-NPCs,Fibro-reg NPCs,20,severe,count
Hom-NPCs,Fibro-reg NPCs,12,severe,count
Eff-NPCs,Fibro-reg NPCs,18,severe,count
Ht-NPCs,Fibro-reg NPCs,29,severe,count
Fibro-NPCs,Fibro-reg NPCs,25,severe,count
Fibro-reg NPCs,Fibro-reg NPCs,56,severe,count
Hom/Reg-like NPCs,Fibro-reg NPCs,31,severe,count
ECM/Adh-NPCs,Hom/Reg-like NPCs,13,severe,count
Hom-NPCs,Hom/Reg-like NPCs,9,severe,count
Eff-NPCs,Hom/Reg-like NPCs,10,severe,count
Ht-NPCs,Hom/Reg-like NPCs,24,severe,count
Fibro-NPCs,Hom/Reg-like NPCs,23,severe,count
Fibro-reg NPCs,Hom/Reg-like NPCs,48,severe,count
Hom/Reg-like NPCs,Hom/Reg-like NPCs,25,severe,count
ECM/Adh-NPCs,ECM/Adh-NPCs,1,severe_minus_mild,count_delta
Hom-NPCs,ECM/Adh-NPCs,-2,severe_minus_mild,count_delta
Eff-NPCs,ECM/Adh-NPCs,-3,severe_minus_mild,count_delta
Ht-NPCs,ECM/Adh-NPCs,2,severe_minus_mild,count_delta
Fibro-NPCs,ECM/Adh-NPCs,-2,severe_minus_mild,count_delta
Fibro-reg NPCs,ECM/Adh-NPCs,-1,severe_minus_mild,count_delta
Hom/Reg-like NPCs,ECM/Adh-NPCs,0,severe_minus_mild,count_delta
ECM/Adh-NPCs,Hom-NPCs,3,severe_minus_mild,count_delta
Hom-NPCs,Hom-NPCs,-2,severe_minus_mild,count_delta
Eff-NPCs,Hom-NPCs,-4,severe_minus_mild,count_delta
Ht-NPCs,Hom-NPCs,4,severe_minus_mild,count_delta
Fibro-NPCs,Hom-NPCs,-3,severe_minus_mild,count_delta
Fibro-reg NPCs,Hom-NPCs,-3,severe_minus_mild,count_delta
Hom/Reg-like NPCs,Hom-NPCs,-2,severe_minus_mild,count_delta
ECM/Adh-NPCs,Eff-NPCs,-7,severe_minus_mild,count_delta
Hom-NPCs,Eff-NPCs,-6,severe_minus_mild,count_delta
Eff-NPCs,Eff-NPCs,-12,severe_minus_mild,count_delta
Ht-NPCs,Eff-NPCs,1,severe_minus_mild,count_delta
Fibro-NPCs,Eff-NPCs,-9,severe_minus_mild,count_delta
Fibro-reg NPCs,Eff-NPCs,-11,severe_minus_mild,count_delta
Hom/Reg-like NPCs,Eff-NPCs,-12,severe_minus_mild,count_delta
ECM/Adh-NPCs,Ht-NPCs,4,severe_minus_mild,count_delta
Hom-NPCs,Ht-NPCs,-2,severe_minus_mild,count_delta
Eff-NPCs,Ht-NPCs,-5,severe_minus_mild,count_delta
Ht-NPCs,Ht-NPCs,3,severe_minus_mild,count_delta
Fibro-NPCs,Ht-NPCs,-3,severe_minus_mild,count_delta
Fibro-reg NPCs,Ht-NPCs,-4,severe_minus_mild,count_delta
Hom/Reg-like NPCs,Ht-NPCs,-2,severe_minus_mild,count_delta
ECM/Adh-NPCs,Fibro-NPCs,-3,severe_minus_mild,count_delta
Hom-NPCs,Fibro-NPCs,-5,severe_minus_mild,count_delta
Eff-NPCs,Fibro-NPCs,-5,severe_minus_mild,count_delta
Ht-NPCs,Fibro-NPCs,-1,severe_minus_mild,count_delta
Fibro-NPCs,Fibro-NPCs,-4,severe_minus_mild,count_delta
Fibro-reg NPCs,Fibro-NPCs,-11,severe_minus_mild,count_delta
Hom/Reg-like NPCs,Fibro-NPCs,-3,severe_minus_mild,count_delta
ECM/Adh-NPCs,Fibro-reg NPCs,-8,severe_minus_mild,count_delta
Hom-NPCs,Fibro-reg NPCs,-13,severe_minus_mild,count_delta
