group,subtype,outgoing_weight,incoming_weight,outgoing_count,incoming_count
mild,ECM/Adh-NPCs,0.048306594564319356,1.5594140560734173e-4,65,16
mild,Hom-NPCs,0.024817153661708283,0.028137301385952614,62,63
mild,Eff-NPCs,0.006914490182123914,0.029917879559074125,96,135
mild,Ht-NPCs,7.096718337068861e-4,2.6751514604217164e-4,79,50
mild,Fibro-NPCs,0.047060937291274516,0.018681842884973158,113,51
mild,Fibro-reg NPCs,0.028700266445057885,0.03928051355529216,208,290
mild,Hom/Reg-like NPCs,0.059767537636542176,0.09983565767779144,131,149
severe,ECM/Adh-NPCs,0.03025133298504993,3.837038250354382e-4,52,11
severe,Hom-NPCs,0.01192535776251917,0.032701535438503106,27,56
severe,Eff-NPCs,0.0029453501873869413,0.013323959139243842,38,79
severe,Ht-NPCs,0.001945971028917559,0.0010199028499031611,86,41
severe,Fibro-NPCs,0.08406136891546344,0.01551899086579129,79,19
severe,Fibro-reg NPCs,0.047370362530021595,0.07687850733517865,173,191
severe,Hom/Reg-like NPCs,0.022637231347052658,0.06131037530275581,94,152
