source,target,pathway_name,prob,pval,group
ECM/Adh-NPCs,Eff-NPCs,COLLAGEN,0.003433789364239498,0,mild
ECM/Adh-NPCs,Eff-NPCs,FN1,0.0038003196436051283,0,mild
ECM/Adh-NPCs,Eff-NPCs,Prostaglandin,2.2986045052001842e-5,0,mild
ECM/Adh-NPCs,Fibro-NPCs,COLLAGEN,0.002034669603569237,0,mild
ECM/Adh-NPCs,Fibro-NPCs,FN1,0.0024248118323572376,0,mild
ECM/Adh-NPCs,Fibro-reg NPCs,ANGPTL,1.5004269876681875e-7,0,mild
ECM/Adh-NPCs,Fibro-reg NPCs,COLLAGEN,0.003860312497254895,0,mild
ECM/Adh-NPCs,Fibro-reg NPCs,FGF,9.916278730159262e-5,0,mild
ECM/Adh-NPCs,Fibro-reg NPCs,FN1,0.004452615680717336,0,mild
ECM/Adh-NPCs,Fibro-reg NPCs,IGF,2.5343983312143766e-6,0,mild
ECM/Adh-NPCs,Fibro-reg NPCs,LIFR,1.7000643570189456e-5,0,mild
ECM/Adh-NPCs,Hom-NPCs,COLLAGEN,0.002050062177196394,0,mild
ECM/Adh-NPCs,Hom-NPCs,FN1,0.0029565529433445642,0,mild
ECM/Adh-NPCs,Hom/Reg-like NPCs,ADGRG,5.492129638623179e-6,0,mild
ECM/Adh-NPCs,Hom/Reg-like NPCs,COLLAGEN,0.009803004978585522,0,mild
ECM/Adh-NPCs,Hom/Reg-like NPCs,FGF,6.190102637641477e-4,0,mild
ECM/Adh-NPCs,Hom/Reg-like NPCs,FN1,0.012724119533093006,0,mild
Eff-NPCs,ECM/Adh-NPCs,ANGPTL,3.6383875660591955e-6,0,mild
Eff-NPCs,ECM/Adh-NPCs,SPP1,3.9001025988233444e-6,0,mild
Eff-NPCs,Eff-NPCs,ANGPTL,2.4765900783444857e-6,0,mild
Eff-NPCs,Eff-NPCs,CD46,2.638353652694779e-7,0,mild
Eff-NPCs,Eff-NPCs,FGF,3.410615647703388e-5,0,mild
Eff-NPCs,Eff-NPCs,FN1,9.272782941418149e-4,0,mild
Eff-NPCs,Eff-NPCs,IL6,5.141095406942003e-6,0,mild
Eff-NPCs,Eff-NPCs,NOTCH,6.181954649337331e-7,0,mild
Eff-NPCs,Eff-NPCs,PROS,2.550659054689218e-7,0,mild
Eff-NPCs,Eff-NPCs,Prostaglandin,7.82760170153119e-5,0,mild
Eff-NPCs,Eff-NPCs,SPP1,3.0498542589231976e-5,0,mild
Eff-NPCs,Eff-NPCs,THBS,3.058997491936118e-5,0,mild
Eff-NPCs,Fibro-NPCs,ANGPTL,1.7035256533455798e-6,0,mild
Eff-NPCs,Fibro-NPCs,FN1,5.875999524003375e-4,0,mild
Eff-NPCs,Fibro-NPCs,SPP1,3.513302219035861e-5,0,mild
Eff-NPCs,Fibro-reg NPCs,ANGPTL,5.995168780343851e-6,0,mild
Eff-NPCs,Fibro-reg NPCs,COLLAGEN,1.250705645241443e-4,0,mild
Eff-NPCs,Fibro-reg NPCs,FGF,5.4324173060827364e-5,0,mild
Eff-NPCs,Fibro-reg NPCs,FN1,0.0010798922443816853,0,mild
Eff-NPCs,Fibro-reg NPCs,IGF,1.646418875462849e-7,0,mild
Eff-NPCs,Fibro-reg NPCs,IL6,1.3865353755589529e-6,0,mild
Eff-NPCs,Fibro-reg NPCs,LIFR,4.06316718376158e-5,0,mild
Eff-NPCs,Fibro-reg NPCs,NOTCH,1.3696756501621134e-6,0,mild
Eff-NPCs,Fibro-reg NPCs,PROS,1.314093654404801e-6,0,mild
Eff-NPCs,Fibro-reg NPCs,Prostaglandin,2.5773096692641807e-5,0,mild
Eff-NPCs,Fibro-reg NPCs,SPP1,6.475941563760476e-5,0,mild
Eff-NPCs,Fibro-reg NPCs,THBS,2.6195606329565612e-5,0,mild
Eff-NPCs,Fibro-reg NPCs,VISFATIN,3.62987183358024e-5,0,mild
Eff-NPCs,Hom-NPCs,ANGPTL,8.878840534030233e-6,0,mild
Eff-NPCs,Hom-NPCs,FN1,7.104132153469577e-4,0,mild
Eff-NPCs,Hom-NPCs,SPP1,1.3512049986307759e-5,0,mild
Eff-NPCs,Hom-NPCs,THBS,8.018265013290385e-5,0,mild
Eff-NPCs,Hom/Reg-like NPCs,ADGRG,2.845093596521919e-5,0,mild
Eff-NPCs,Hom/Reg-like NPCs,ANGPTL,1.8669470765454705e-5,0,mild
Eff-NPCs,Hom/Reg-like NPCs,FGF,3.3915798841206447e-4,0,mild
Eff-NPCs,Hom/Reg-like NPCs,FN1,0.0021986188181407048,0,mild
Eff-NPCs,Hom/Reg-like NPCs,IL6,2.917693733464133e-5,0,mild
Eff-NPCs,Hom/Reg-like NPCs,NOTCH,1.9746233049140925e-6,0,mild
Eff-NPCs,Hom/Reg-like NPCs,SPP1,8.810867834519377e-5,0,mild
Eff-NPCs,Hom/Reg-like NPCs,THBS,1.903877424775596e-4,0,mild
Eff-NPCs,Ht-NPCs,ANGPTL,2.904486292094279e-7,0,mild
Eff-NPCs,Ht-NPCs,PROS,7.486947453143824e-8,0,mild
Eff-NPCs,Ht-NPCs,SPP1,3.111969471781097e-7,0,mild
Eff-NPCs,Ht-NPCs,THBS,1.627352406503931e-6,0,mild
Fibro-NPCs,ECM/Adh-NPCs,COLLAGEN,8.56027100155022e-5,0,mild
