gene,geo_accession,expression,title,tissue,degeneration_group
ACAN,GSM4429808,11.712499999999999,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
ACAN,GSM4429810,11.7825,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
ACAN,GSM4429812,11.24,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
ACAN,GSM4429814,11.19,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
COL2A1,GSM4429808,13.075,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
COL2A1,GSM4429810,14.065000000000001,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
COL2A1,GSM4429812,13.515,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
COL2A1,GSM4429814,14.09,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
COL6A2,GSM4429808,9.605,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
COL6A2,GSM4429810,11.61,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
COL6A2,GSM4429812,11.379999999999999,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
COL6A2,GSM4429814,10.625,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
BGN,GSM4429808,10.813333333333333,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
BGN,GSM4429810,11.56,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
BGN,GSM4429812,11.333333333333334,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
BGN,GSM4429814,11.456666666666665,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
GPX4,GSM4429808,9.55,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
GPX4,GSM4429810,10.96,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
GPX4,GSM4429812,12.76,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
GPX4,GSM4429814,11.26,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
SLC39A14,GSM4429808,7.8500000000000005,C74NP: NP of patient C74,Nucleus pulposus,young_non_degenerated
SLC39A14,GSM4429810,7.833333333333333,C88NP: NP of patient C88,Nucleus pulposus,young_non_degenerated
SLC39A14,GSM4429812,7.576666666666667,D40NP: NP of patient D40,Nucleus pulposus,aged_degenerated
SLC39A14,GSM4429814,8.17,D45NP: NP of patient D45,Nucleus pulposus,aged_degenerated
