gene,n_young,n_aged,mean_young,mean_aged,delta_aged_minus_young,p_value,p_adj
ACAN,2,2,11.747499999999999,11.215,-0.5324999999999989,0.24527811680677283,0.4339535912735212
ADAMTS5,2,2,4.380000000000001,6.8075,2.4274999999999993,0.24527811680677283,0.4339535912735212
CLU,2,2,13.528333333333332,14.485,0.956666666666667,0.24527811680677283,0.4339535912735212
COL1A1,2,2,5.425000000000001,7.952,2.5269999999999992,0.24527811680677283,0.4339535912735212
COL3A1,2,2,9.7275,11.36,1.6325000000000003,0.24527811680677283,0.4339535912735212
COMP,2,2,14.36,14.68,0.3200000000000003,0.24527811680677283,0.4339535912735212
FN1,2,2,11.547142857142857,12.059285714285714,0.512142857142857,0.24527811680677283,0.4339535912735212
FTL,2,2,13.045,13.875,0.8300000000000001,0.24527811680677283,0.4339535912735212
GPX3,2,2,11.46,12.569999999999999,1.1099999999999977,0.24527811680677283,0.4339535912735212
GPX4,2,2,10.255,12.01,1.754999999999999,0.24527811680677283,0.4339535912735212
MMP13,2,2,4.41,4.865,0.45500000000000007,0.24527811680677283,0.4339535912735212
SLC7A11,2,2,9.841666666666669,8.848333333333333,-0.9933333333333358,0.24527811680677283,0.4339535912735212
SPARC,2,2,10.41,12.58,2.17,0.24527811680677283,0.4339535912735212
COL2A1,2,2,13.57,13.8025,0.23249999999999993,0.6985353583033387,1
FTH1,2,2,12.5525,12.655,0.10249999999999915,0.6985353583033387,1
POSTN,2,2,4.19875,5.43,1.2312499999999993,0.6985353583033387,1
ACSL4,2,2,5.805,6.12,0.3150000000000004,1,1
BGN,2,2,11.186666666666667,11.395,0.20833333333333215,1,1
COL1A2,2,2,10.633333333333333,10.593333333333332,-0.040000000000000924,1,1
COL6A2,2,2,10.6075,11.0025,0.3949999999999996,1,1
HMOX1,2,2,13.989999999999998,13.835,-0.15499999999999758,1,1
LRP1,2,2,4.3225,4.325,0.002500000000000391,1,1
SLC39A14,2,2,7.841666666666667,7.873333333333333,0.03166666666666629,1,1
