gene,n_low,n_high,mean_low,mean_high,log2FC_high_vs_low,p_value,p_adj
ACAN,8,10,12.525914575,11.509140649999999,-1.0167739250000007,0.002915085858374123,0.06704697474260483
FTL,8,10,13.53612127625,13.725689584,0.18956830774999922,0.011331975645198054,0.10662404919374605
COL6A2,8,10,7.656885882375,6.5327778286,-1.1241080537750001,0.014548023867342993,0.10662404919374605
BGN,8,10,10.197300215875,9.6482442407,-0.5490559751749995,0.01854331290326018,0.10662404919374605
GPX4,8,10,9.877964561,10.4010249402,0.5230603791999986,0.02948936338440756,0.13565107156827477
SLC39A14,8,10,4.33137606825,4.5506527273,0.21927665905000016,0.036795147171452006,0.1410480641572327
COL2A1,8,10,11.5899141375,10.864972227,-0.7249419104999983,0.045589156179580106,0.14979294173290605
FTH1,8,10,11.43883816375,11.739667956,0.3008297922499992,0.056091363996293074,0.1612626714893426
SLC7A11,8,10,9.296218623125,9.6236725918,0.327453968675,0.11996612290584203,0.3065800918704852
ADAMTS5,8,10,3.3023485734999998,4.5757455499,1.2733969764,0.19762109031884836,0.4132077343030466
CLU,8,10,13.48217696,13.619078713,0.13690175300000007,0.19762109031884836,0.4132077343030466
COL1A1,8,10,3.5574447885,5.0736366246,1.5161918361,0.266717246715916,0.5112080562055057
MMP3,8,10,13.15705033125,13.060799980999999,-0.09625035025000095,0.3508460519866289,0.57300923460573
COMP,8,10,13.30176147125,13.245306592,-0.05645487924999948,0.39861511972572516,0.57300923460573
FN1,8,10,12.83607454875,13.003488172,0.16741362325000075,0.39861511972572516,0.57300923460573
GPX3,8,10,11.590374195,12.213604425,0.623230229999999,0.39861511972572516,0.57300923460573
POSTN,8,10,3.5802292955,4.7435690331,1.1633397375999999,0.505160263091456,0.6834521206531464
MMP13,8,10,1.9772331140000001,2.7599009187,0.7826678047,0.625062725233368,0.7986912600204147
SPARC,8,10,9.557065948625,9.4350066514,-0.12205929722500031,0.6892776871749512,0.834388779211783
COL1A2,8,10,9.633264574375,9.506090350800001,-0.12717422357499863,0.7558134230866009,0.869185436549591
COL3A1,8,10,7.6702082365,8.1130416903,0.4428334537999996,0.8939731323902173,0.9346082747715907
LRP1,8,10,5.45778891025,5.5342065276,0.07641761735000063,0.8939731323902173,0.9346082747715907
HMOX1,8,10,12.34347250375,12.27821265,-0.06525985374999976,1,1
