gene,n_low,n_high,mean_low,mean_high,delta_high_minus_low,p_value,p_adj,label
ACAN,8,10,12.525914575,11.509140649999999,-1.0167739250000007,0.002915085858374123,0.03498103030048948,*
FTL,8,10,13.53612127625,13.725689584,0.18956830774999922,0.011331975645198054,0.055629938709780544,p=0.011 (trend)
COL6A2,8,10,7.656885882375,6.5327778286,-1.1241080537750001,0.014548023867342993,0.055629938709780544,p=0.015 (trend)
BGN,8,10,10.197300215875,9.6482442407,-0.5490559751749995,0.01854331290326018,0.055629938709780544,p=0.019 (trend)
GPX4,8,10,9.877964561,10.4010249402,0.5230603791999986,0.02948936338440756,0.07077447212257813,p=0.029 (trend)
SLC39A14,8,10,4.33137606825,4.5506527273,0.21927665905000016,0.036795147171452006,0.07359029434290401,p=0.037 (trend)
COL2A1,8,10,11.5899141375,10.864972227,-0.7249419104999983,0.045589156179580106,0.07815283916499446,p=0.046 (trend)
FTH1,8,10,11.43883816375,11.739667956,0.3008297922499992,0.056091363996293074,0.08413704599443961,ns
ADAMTS5,8,10,3.3023485734999998,4.5757455499,1.2733969764,0.19762109031884836,0.2634947870917978,ns
COL1A1,8,10,3.5574447885,5.0736366246,1.5161918361,0.266717246715916,0.3200606960590992,ns
GPX3,8,10,11.590374195,12.213604425,0.623230229999999,0.39861511972572516,0.43485285788260924,ns
POSTN,8,10,3.5802292955,4.7435690331,1.1633397375999999,0.505160263091456,0.505160263091456,ns
