module,pseudotime_bin,pseudotime,mean_score
Composite,1,0.022589516708944518,0.20147197424599245
Composite,2,0.06075367031739043,0.042661318186872105
Composite,3,0.10017012702821146,-0.22338195036105787
Composite,4,0.13993952546557725,-0.33816236510200276
Composite,5,0.18142279530993627,-0.4749790733365863
Composite,6,0.2206527587753437,-0.49132775416390895
Composite,7,0.2618552108412444,-0.5196601492941101
Composite,8,0.2987796926775396,-0.367645023569739
Composite,9,0.3397410152078119,-0.36913192379823645
Composite,10,0.37999224948880583,-0.3509304132564164
Composite,11,0.42086464573250415,-0.1416210971251694
Composite,12,0.46159056452107106,-0.061651162327976725
Composite,13,0.4972053945299805,-0.17834676051446835
Composite,14,0.5421454509020174,-0.18728250710182512
Composite,15,0.58047653392645,-0.31864869081233255
Composite,16,0.620228548955638,-0.37858526137750836
Composite,17,0.658383074179682,-0.1298446391180504
Composite,18,0.6987923589815225,0.06452903883350368
Composite,19,0.7424227839164884,0.3566713923874719
Composite,20,0.780887552409914,0.7700175918313115
Composite,21,0.8210458657898156,1.2500564073887315
Composite,22,0.8591191283535526,1.179826211097727
Composite,23,0.9008977269308178,1.0576416552573376
Composite,24,0.937609591248367,0.9891265954411441
Composite,25,0.9789990314680873,0.5212849334397383
Fibrotic,1,0.022589516708944518,-0.21097420389720561
Fibrotic,2,0.06075367031739043,-0.216569104142795
Fibrotic,3,0.10017012702821146,-0.20952606376420593
Fibrotic,4,0.13993952546557725,-0.23374443367397885
Fibrotic,5,0.18142279530993627,-0.2411924659461632
Fibrotic,6,0.2206527587753437,-0.2695447326298047
Fibrotic,7,0.2618552108412444,-0.34932282157482086
Fibrotic,8,0.2987796926775396,-0.35495239980051946
Fibrotic,9,0.3397410152078119,-0.3264591213694702
Fibrotic,10,0.37999224948880583,-0.30101217809648645
Fibrotic,11,0.42086464573250415,-0.3438104834296677
Fibrotic,12,0.46159056452107106,-0.32036811842761576
Fibrotic,13,0.4972053945299805,-0.30554531628502807
Fibrotic,14,0.5421454509020174,-0.310142738257855
Fibrotic,15,0.58047653392645,-0.19325401200955367
Fibrotic,16,0.620228548955638,-0.15163022796393447
Fibrotic,17,0.658383074179682,-0.07209313437952374
Fibrotic,18,0.6987923589815225,0.10932176718744939
Fibrotic,19,0.7424227839164884,0.5380932205562677
Fibrotic,20,0.780887552409914,0.8210752954946947
Fibrotic,21,0.8210458657898156,1.1859661194527795
Fibrotic,22,0.8591191283535526,1.099095166027299
Fibrotic,23,0.9008977269308178,0.8802033340402413
Fibrotic,24,0.937609591248367,0.7559095484191669
Fibrotic,25,0.9789990314680873,0.4122898844162655
Iron/ferroptosis,1,0.022589516708944518,0.047623336205309466
Iron/ferroptosis,2,0.06075367031739043,0.0668225541027951
Iron/ferroptosis,3,0.10017012702821146,0.031854445989680825
Iron/ferroptosis,4,0.13993952546557725,0.057266987992861854
Iron/ferroptosis,5,0.18142279530993627,0.11928509331027791
Iron/ferroptosis,6,0.2206527587753437,0.10500548822675708
Iron/ferroptosis,7,0.2618552108412444,0.09786620853748597
Iron/ferroptosis,8,0.2987796926775396,0.07054896763100287
Iron/ferroptosis,9,0.3397410152078119,0.11288761324756613
Iron/ferroptosis,10,0.37999224948880583,0.03477433502216136
Iron/ferroptosis,11,0.42086464573250415,-0.03805522249714249
Iron/ferroptosis,12,0.46159056452107106,-0.08373449422354864
Iron/ferroptosis,13,0.4972053945299805,-0.10052506290346545
Iron/ferroptosis,14,0.5421454509020174,0.057811355335893884
Iron/ferroptosis,15,0.58047653392645,0.02652662417409223
Iron/ferroptosis,16,0.620228548955638,-0.003403810420061271
Iron/ferroptosis,17,0.658383074179682,0.02703102598219423
Iron/ferroptosis,18,0.6987923589815225,0.10400157427877713
Iron/ferroptosis,19,0.7424227839164884,0.054464531697064916
Iron/ferroptosis,20,0.780887552409914,-0.04345597582708199
Iron/ferroptosis,21,0.8210458657898156,-0.08970661333295529
Iron/ferroptosis,22,0.8591191283535526,-0.19175697892373955
Iron/ferroptosis,23,0.9008977269308178,-0.24706113455289608
Iron/ferroptosis,24,0.937609591248367,-0.19154123658016411
Iron/ferroptosis,25,0.9789990314680873,-0.2909559520986097
Matrix,1,0.022589516708944518,-0.36482284193788855
Matrix,2,0.06075367031739043,-0.19240786822687203
Matrix,3,0.10017012702821146,0.04571033258653278
Matrix,4,0.13993952546557725,0.16168491942088575
Matrix,5,0.18142279530993627,0.353071700700701
Matrix,6,0.2206527587753437,0.3267885097608613
Matrix,7,0.2618552108412444,0.2682035362567752
Matrix,8,0.2987796926775396,0.08324159140022239
Matrix,9,0.3397410152078119,0.15556041567633236
Matrix,10,0.37999224948880583,0.08469257018209128
Matrix,11,0.42086464573250415,-0.24024460880164075
Matrix,12,0.46159056452107106,-0.34245145032318763
Matrix,13,0.4972053945299805,-0.22772361867402513
Matrix,14,0.5421454509020174,-0.06504887582013595
Matrix,15,0.58047653392645,0.15192130297687115
Matrix,16,0.620228548955638,0.2235512229935126
Matrix,17,0.658383074179682,0.0847825307207209
Matrix,18,0.6987923589815225,0.14879430263272284
Matrix,19,0.7424227839164884,0.2358863598658608
Matrix,20,0.780887552409914,0.0076017278363012235
Matrix,21,0.8210458657898156,-0.15379690126890713
Matrix,22,0.8591191283535526,-0.27248802399416744
Matrix,23,0.9008977269308178,-0.4244994557699924
Matrix,24,0.937609591248367,-0.4247582836021413
Matrix,25,0.9789990314680873,-0.3999510011220825
