npc_subtype_final,article_group,n_cells,mean_pseudotime,median_pseudotime,sd_pseudotime
ECM/Adh-NPCs,mild,1258,0.5995434156289501,0.6115174976581077,0.09933207180124397
ECM/Adh-NPCs,severe,537,0.604977053663828,0.6087226353477192,0.11268921928977421
Hom-NPCs,mild,1223,0.30377039736137457,0.4113167753063974,0.18868120117492188
Hom-NPCs,severe,362,0.3267465418064797,0.42519147685547964,0.19220513838798212
Eff-NPCs,mild,380,0.5290214658231804,0.5503242555982865,0.08468215990995596
Eff-NPCs,severe,104,0.5310844622100647,0.5532110777199644,0.07781289634830675
Ht-NPCs,mild,38,0.3929772729634955,0.39057243195210983,0.01882304823493023
Ht-NPCs,severe,28,0.3951032188950418,0.39480996971016546,0.010006894832360601
Fibro-NPCs,mild,629,0.8568295933978013,0.856825815373005,0.06339792362609925
Fibro-NPCs,severe,704,0.860329939054598,0.8522443583617223,0.05890600834732567
Fibro-reg NPCs,mild,396,0.665960673623475,0.682355770385088,0.10551254480825607
Fibro-reg NPCs,severe,374,0.7114303618411735,0.7280860101030977,0.08170809097059639
Hom/Reg-like NPCs,mild,1885,0.25523349003034873,0.25926616120048135,0.09041296725011524
Hom/Reg-like NPCs,severe,327,0.27979452692695966,0.2732701625020537,0.10149529991816647
