source,target,interaction_name_2,pathway_name,pair_key,prob_mild,prob_severe,pval_mild,pval_severe,prob_delta_severe_minus_mild,severe_specific_or_enhanced,pair_label
Fibro-NPCs,Fibro-NPCs,CD99 - CD99,CD99,Fibro-NPCs|Fibro-NPCs|CD99 - CD99|CD99,0,0.005122579281963552,NA,0,0.005122579281963552,TRUE,"CD99 - CD99
CD99"
Fibro-NPCs,Fibro-reg NPCs,COL1A1 - (ITGA10+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL1A1 - (ITGA10+ITGB1)|COLLAGEN,3.9858798881442996e-4,0.0032946814442610544,0,0,0.0028960934554466246,TRUE,"COL1A1 - (ITGA10+ITGB1)
COLLAGEN"
Fibro-NPCs,Fibro-reg NPCs,CD99 - CD99,CD99,Fibro-NPCs|Fibro-reg NPCs|CD99 - CD99|CD99,4.0266811187904256e-4,0.0032269065126267625,0,0,0.00282423840074772,TRUE,"CD99 - CD99
CD99"
Fibro-reg NPCs,Fibro-NPCs,CD99 - CD99,CD99,Fibro-reg NPCs|Fibro-NPCs|CD99 - CD99|CD99,4.0266811187904256e-4,0.0032269065126267625,0,0,0.00282423840074772,TRUE,"CD99 - CD99
CD99"
Fibro-NPCs,Fibro-reg NPCs,COL1A2 - (ITGA10+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL1A2 - (ITGA10+ITGB1)|COLLAGEN,4.6731760397600693e-4,0.0032672160379815765,0,0,0.0027998984340055696,TRUE,"COL1A2 - (ITGA10+ITGB1)
COLLAGEN"
Fibro-NPCs,Fibro-reg NPCs,FN1 - (ITGA5+ITGB1),FN1,Fibro-NPCs|Fibro-reg NPCs|FN1 - (ITGA5+ITGB1)|FN1,3.123930929964026e-4,0.00300323693651091,0,0,0.0026908438435145074,TRUE,"FN1 - (ITGA5+ITGB1)
FN1"
Fibro-NPCs,Fibro-reg NPCs,FN1 - (ITGAV+ITGB1),FN1,Fibro-NPCs|Fibro-reg NPCs|FN1 - (ITGAV+ITGB1)|FN1,5.337445253042273e-4,0.0031221463524327567,0,0,0.0025884018271285295,TRUE,"FN1 - (ITGAV+ITGB1)
FN1"
Fibro-NPCs,Hom/Reg-like NPCs,CD99 - CD99,CD99,Fibro-NPCs|Hom/Reg-like NPCs|CD99 - CD99|CD99,0,0.0023336522390395523,NA,0,0.0023336522390395523,TRUE,"CD99 - CD99
CD99"
Hom/Reg-like NPCs,Fibro-NPCs,CD99 - CD99,CD99,Hom/Reg-like NPCs|Fibro-NPCs|CD99 - CD99|CD99,0,0.0023336522390395523,NA,0,0.0023336522390395523,TRUE,"CD99 - CD99
CD99"
Fibro-NPCs,Fibro-reg NPCs,COL1A1 - (ITGA11+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL1A1 - (ITGA11+ITGB1)|COLLAGEN,2.6529339196406255e-4,0.0025342556861764312,0,0,0.0022689622942123687,TRUE,"COL1A1 - (ITGA11+ITGB1)
COLLAGEN"
Fibro-NPCs,Fibro-reg NPCs,COL1A2 - (ITGA11+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL1A2 - (ITGA11+ITGB1)|COLLAGEN,3.12065828708135e-4,0.002512741616898042,0,0,0.002200675788189907,TRUE,"COL1A2 - (ITGA11+ITGB1)
COLLAGEN"
Fibro-NPCs,Hom/Reg-like NPCs,COL1A1 - SDC4,COLLAGEN,Fibro-NPCs|Hom/Reg-like NPCs|COL1A1 - SDC4|COLLAGEN,0.002333719707510823,0.004503042926460353,0,0,0.0021693232189495303,TRUE,"COL1A1 - SDC4
COLLAGEN"
ECM/Adh-NPCs,Fibro-reg NPCs,FN1 - (ITGA5+ITGB1),FN1,ECM/Adh-NPCs|Fibro-reg NPCs|FN1 - (ITGA5+ITGB1)|FN1,6.933295912490728e-4,0.002821279116574582,0,0,0.0021279495253255093,TRUE,"FN1 - (ITGA5+ITGB1)
FN1"
Fibro-NPCs,Hom-NPCs,COL1A1 - SDC4,COLLAGEN,Fibro-NPCs|Hom-NPCs|COL1A1 - SDC4|COLLAGEN,0.0010288947938847878,0.0028006547772715584,0,0,0.0017717599833867706,TRUE,"COL1A1 - SDC4
COLLAGEN"
ECM/Adh-NPCs,Fibro-reg NPCs,FN1 - (ITGAV+ITGB1),FN1,ECM/Adh-NPCs|Fibro-reg NPCs|FN1 - (ITGAV+ITGB1)|FN1,0.0011805446277867017,0.0029310331961195915,0,0,0.0017504885683328898,TRUE,"FN1 - (ITGAV+ITGB1)
FN1"
Fibro-NPCs,Hom/Reg-like NPCs,COL1A2 - SDC4,COLLAGEN,Fibro-NPCs|Hom/Reg-like NPCs|COL1A2 - SDC4|COLLAGEN,0.0027299490833060805,0.004467186587161526,0,0,0.0017372375038554452,TRUE,"COL1A2 - SDC4
COLLAGEN"
ECM/Adh-NPCs,Fibro-NPCs,FN1 - (ITGAV+ITGB1),FN1,ECM/Adh-NPCs|Fibro-NPCs|FN1 - (ITGAV+ITGB1)|FN1,0,0.0017176685663074012,NA,0,0.0017176685663074012,TRUE,"FN1 - (ITGAV+ITGB1)
FN1"
Fibro-reg NPCs,Fibro-reg NPCs,CD99 - CD99,CD99,Fibro-reg NPCs|Fibro-reg NPCs|CD99 - CD99|CD99,3.5832752495687205e-4,0.0020281772905039776,0,0,0.0016698497655471055,TRUE,"CD99 - CD99
CD99"
Fibro-NPCs,Hom-NPCs,COL1A2 - SDC4,COLLAGEN,Fibro-NPCs|Hom-NPCs|COL1A2 - SDC4|COLLAGEN,0.0012082623672701634,0.002777081604648989,0,0,0.0015688192373788257,TRUE,"COL1A2 - SDC4
COLLAGEN"
Fibro-reg NPCs,Fibro-reg NPCs,FN1 - (ITGA5+ITGB1),FN1,Fibro-reg NPCs|Fibro-reg NPCs|FN1 - (ITGA5+ITGB1)|FN1,2.097181673639447e-4,0.001684418904933079,0,0,0.0014747007375691343,TRUE,"FN1 - (ITGA5+ITGB1)
FN1"
Fibro-reg NPCs,Fibro-reg NPCs,FN1 - (ITGAV+ITGB1),FN1,Fibro-reg NPCs|Fibro-reg NPCs|FN1 - (ITGAV+ITGB1)|FN1,3.575749084110695e-4,0.0017508307841505382,0,0,0.0013932558757394687,TRUE,"FN1 - (ITGAV+ITGB1)
FN1"
Fibro-NPCs,Fibro-reg NPCs,COL6A3 - (ITGA10+ITGB1),COLLAGEN,Fibro-NPCs|Fibro-reg NPCs|COL6A3 - (ITGA10+ITGB1)|COLLAGEN,2.0142590551334045e-4,0.0015677354570287664,0,0,0.001366309551515426,TRUE,"COL6A3 - (ITGA10+ITGB1)
COLLAGEN"
Fibro-reg NPCs,Fibro-reg NPCs,COL1A2 - (ITGA10+ITGB1),COLLAGEN,Fibro-reg NPCs|Fibro-reg NPCs|COL1A2 - (ITGA10+ITGB1)|COLLAGEN,2.0029944426239732e-4,0.0015139143873383319,0,0,0.0013136149430759345,TRUE,"COL1A2 - (ITGA10+ITGB1)
COLLAGEN"
