npc_subtype_final,article_group,n_cells,proportion
ECM/Adh-NPCs,mild,1258,0.21656050955414013
ECM/Adh-NPCs,severe,537,0.2204433497536946
Hom/Reg-like NPCs,mild,1885,0.32449647099328627
Hom/Reg-like NPCs,severe,327,0.13423645320197045
Hom-NPCs,mild,1223,0.21053537614047169
Hom-NPCs,severe,362,0.14860426929392448
Eff-NPCs,mild,380,0.06541573420554313
Eff-NPCs,severe,104,0.042692939244663386
Ht-NPCs,mild,38,0.006541573420554312
Ht-NPCs,severe,28,0.011494252873563218
Fibro-NPCs,mild,629,0.10828025477707007
Fibro-NPCs,severe,704,0.2889983579638752
Fibro-reg NPCs,mild,396,0.06817008090893441
Fibro-reg NPCs,severe,374,0.1535303776683087
