score,npc_subtype_final,article_group,n_cells,mean_score,median_score,sd_score
FDS,ECM/Adh-NPCs,mild,1258,0.013332154039996118,0.011002825997296684,0.04030553150318758
FDS,ECM/Adh-NPCs,severe,537,0.018022659946306318,0.01509035951754023,0.04167385345636716
FDS,Hom-NPCs,mild,1223,1.0353866075676527e-4,-0.0026877012812811657,0.03907237708941601
FDS,Hom-NPCs,severe,362,-7.755600828298528e-4,-0.003694173886015527,0.03831919963314587
FDS,Eff-NPCs,mild,380,0.027041441745695588,0.025563714554410998,0.040891506159824474
FDS,Eff-NPCs,severe,104,0.03930300363651066,0.037329333466857996,0.040293836291663256
FDS,Ht-NPCs,mild,38,0.025711799758737316,0.021841339849723973,0.03482385755183419
FDS,Ht-NPCs,severe,28,5.406155243891613e-5,3.597778547782815e-5,0.03249824624943224
FDS,Fibro-NPCs,mild,629,0.0109870973590996,0.008403002869654688,0.03943989661005579
FDS,Fibro-NPCs,severe,704,0.01239061378432973,0.0075962508501138185,0.04200136040897024
FDS,Fibro-reg NPCs,mild,396,0.04662942259179873,0.046906323286008064,0.04214541871905124
FDS,Fibro-reg NPCs,severe,374,0.036238958290026185,0.03615186765688563,0.041555547034555024
FDS,Hom/Reg-like NPCs,mild,1885,0.031662812312658245,0.03106640392472687,0.04150276347688616
FDS,Hom/Reg-like NPCs,severe,327,0.03206549338335063,0.03278351646229974,0.04149503834235984
FSS,ECM/Adh-NPCs,mild,1258,0.012558792728872479,0.00990141149494201,0.03993986967043449
FSS,ECM/Adh-NPCs,severe,537,0.015204294216009044,0.011994511226340376,0.04247875666766673
FSS,Hom-NPCs,mild,1223,0.024849192947224024,0.024062821009386615,0.03971489727747113
FSS,Hom-NPCs,severe,362,0.030288656517954128,0.028004139457224672,0.040367408024824955
FSS,Eff-NPCs,mild,380,0.054264096656420555,0.055645571671989774,0.042676671080783816
FSS,Eff-NPCs,severe,104,0.056563375884869045,0.050864233714628476,0.04447236799484429
FSS,Ht-NPCs,mild,38,0.028814378414042725,0.019600101043585505,0.041472163938427356
FSS,Ht-NPCs,severe,28,0.03651394882265438,0.02950236463954911,0.045725743201746896
FSS,Fibro-NPCs,mild,629,0.02781951303464078,0.02278548820891957,0.0422591282523033
FSS,Fibro-NPCs,severe,704,0.02805640133682202,0.0241231343188566,0.04146461503127872
FSS,Fibro-reg NPCs,mild,396,0.06374634271507572,0.0628148244397023,0.042837685156130435
FSS,Fibro-reg NPCs,severe,374,0.060428770156012224,0.06056431957996465,0.04670259494182756
FSS,Hom/Reg-like NPCs,mild,1885,0.04923727820632707,0.048635778802282564,0.03985481206184415
FSS,Hom/Reg-like NPCs,severe,327,0.057367115321337786,0.06043103183880441,0.04342824804452224
