score,npc_subtype_final,n_mild,n_severe,p_value,p_adj,p_label
FDS,ECM/Adh-NPCs,1258,537,0.06295790444889979,0.14690177704743285,ns
FDS,Hom-NPCs,1223,362,0.6608126468350017,0.9251377055690023,ns
FDS,Eff-NPCs,380,104,0.009267887346972722,0.03243760571440453,*
FDS,Ht-NPCs,38,28,0.004401582693686841,0.020540719237205258,*
FDS,Fibro-NPCs,629,704,0.9253376622467304,0.9764063076409065,ns
FDS,Fibro-reg NPCs,396,374,4.7388958492022826e-4,0.0036923291782645544,**
FDS,Hom/Reg-like NPCs,1885,327,0.8587079855189292,0.9764063076409065,ns
FSS,ECM/Adh-NPCs,1258,537,0.35696341813309435,0.6636431948019302,ns
FSS,Hom-NPCs,1223,362,0.03133615205089962,0.08774122574251893,ns
FSS,Eff-NPCs,380,104,0.8639842136179627,0.9764063076409065,ns
FSS,Ht-NPCs,38,28,0.495777623805991,0.7712096370315416,ns
FSS,Fibro-NPCs,629,704,0.9764063076409065,0.9764063076409065,ns
FSS,Fibro-reg NPCs,396,374,0.37922468274396015,0.6636431948019302,ns
FSS,Hom/Reg-like NPCs,1885,327,5.274755968949364e-4,0.0036923291782645544,**
