npc_subtype_final,direction,source,library,rank,term_name,p_value,adjusted_p_value,z_score,combined_score,intersection_size,intersection,term_name_short,term_label,minus_log10_padj
ECM/Adh-NPCs,up_in_severe,REAC,Reactome_2022,1,Defective B4GALT1 Causes B4GALT1-CDG (CDG-2d) R-HSA-3656244,2.6045660421160066e-9,1.5106483044272837e-7,424.36170212765956,8387.933303315764,4,ACAN;OGN;OMD;PRELP,Defective B4GALT1 Causes B4GALT1-CDG (CDG-2d) R-HSA-365...,Defective B4GALT1 Causes B4GALT1-CDG (CDG-2d) R-HSA-365... [REAC],6.820836632434551
ECM/Adh-NPCs,up_in_severe,REAC,Reactome_2022,2,Defective CHST6 Causes MCDC1 R-HSA-3656225,2.6045660421160066e-9,1.5106483044272837e-7,424.36170212765956,8387.933303315764,4,ACAN;OGN;OMD;PRELP,Defective CHST6 Causes MCDC1 R-HSA-3656225,Defective CHST6 Causes MCDC1 R-HSA-3656225 [REAC],6.820836632434551
ECM/Adh-NPCs,up_in_severe,REAC,Reactome_2022,3,Defective ST3GAL3 Causes MCT12 And EIEE15 R-HSA-3656243,2.6045660421160066e-9,1.5106483044272837e-7,424.36170212765956,8387.933303315764,4,ACAN;OGN;OMD;PRELP,Defective ST3GAL3 Causes MCT12 And EIEE15 R-HSA-3656243,Defective ST3GAL3 Causes MCT12 And EIEE15 R-HSA-3656243 [REAC],6.820836632434551
ECM/Adh-NPCs,up_in_severe,REAC,Reactome_2022,4,Keratan Sulfate Degradation R-HSA-2022857,1.8280524849960873e-8,7.95202830973298e-7,212.13829787234042,3779.7591792397943,4,ACAN;OGN;OMD;PRELP,Keratan Sulfate Degradation R-HSA-2022857,Keratan Sulfate Degradation R-HSA-2022857 [REAC],6.099522082491662
ECM/Adh-NPCs,up_in_severe,REAC,Reactome_2022,5,Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782,5.421908121201423e-8,1.8674109926430667e-6,61.84472049689441,1034.6765799340674,5,ACAN;OMD;OGN;BGN;PRELP,Diseases Associated With Glycosaminoglycan Metabolism R...,Diseases Associated With Glycosaminoglycan Metabolism R... [REAC],5.728760089017343
ECM/Adh-NPCs,up_in_severe,REAC,Reactome_2022,6,Peptide Chain Elongation R-HSA-156902,8.167062989520298e-8,1.8674109926430667e-6,33.115,540.4557214777992,6,RPS14;RPS19;RPLP1;RPLP2;RPL8;RPL29,Peptide Chain Elongation R-HSA-156902,Peptide Chain Elongation R-HSA-156902 [REAC],5.728760089017343
Eff-NPCs,up_in_severe,KEGG,KEGG_2021_Human,1,ECM-receptor interaction,1.3238719208504095e-5,3.7068413783811465e-4,87.81176470588235,986.3337703993213,3,COMP;COL1A1;COL6A2,ECM-receptor interaction,ECM-receptor interaction [KEGG],3.4309959977221713
Eff-NPCs,up_in_severe,KEGG,KEGG_2021_Human,2,Focal adhesion,1.5547714540892362e-4,0.0021766800357249307,37.48295454545455,328.6884711580902,3,COMP;COL1A1;COL6A2,Focal adhesion,Focal adhesion [KEGG],2.662205406021739
Eff-NPCs,up_in_severe,KEGG,KEGG_2021_Human,3,Malaria,3.32063883264561e-4,0.0030992629104692362,92.31944444444444,739.4956618223716,2,COMP;LRP1,Malaria,Malaria [KEGG],2.508741580997594
Eff-NPCs,up_in_severe,KEGG,KEGG_2021_Human,4,Human papillomavirus infection,6.715830826929962e-4,0.004571446585111173,22.47827743902439,164.22343624143863,3,COMP;COL1A1;COL6A2,Human papillomavirus infection,Human papillomavirus infection [KEGG],2.3399463503633267
Eff-NPCs,up_in_severe,KEGG,KEGG_2021_Human,5,PI3K-Akt signaling pathway,8.16329747341281e-4,0.004571446585111173,20.98076923076923,149.1877917519314,3,COMP;COL1A1;COL6A2,PI3K-Akt signaling pathway,PI3K-Akt signaling pathway [KEGG],2.3399463503633267
Eff-NPCs,up_in_severe,KEGG,KEGG_2021_Human,6,Protein digestion and absorption,0.0014014910364866255,0.006540291503604253,43.75797579757976,287.4994657413395,2,COL1A1;COL6A2,Protein digestion and absorption,Protein digestion and absorption [KEGG],2.1844028945525724
Fibro-NPCs,up_in_severe,GO:BP,GO_Biological_Process_2025,1,Cytoplasmic Translation (GO:0002181),1.4005198773365214e-12,5.574069111799355e-10,52.51410105757932,1433.3292011523604,9,RPS14;RPS19;RPS18;RPL27A;RPLP2;RPL37;RPL8;RPL29;RPL19,Cytoplasmic Translation (GO:0002181),Cytoplasmic Translation (GO:0002181) [GO:BP],9.253827650856476
Fibro-NPCs,up_in_severe,REAC,Reactome_2022,1,Peptide Chain Elongation R-HSA-156902,1.9130478463391217e-11,8.858817039461118e-10,53.64642375168691,1323.9797000831436,8,RPS14;RPS19;RPL27A;RPLP2;RPL37;RPL8;RPL29;RPL19,Peptide Chain Elongation R-HSA-156902,Peptide Chain Elongation R-HSA-156902 [REAC],9.052624267676695
Fibro-NPCs,up_in_severe,REAC,Reactome_2022,2,Selenocysteine Synthesis R-HSA-2408557,2.7759076036004994e-11,8.858817039461118e-10,51.019255455712454,1240.1484226934233,8,RPS14;RPS19;RPL27A;RPLP2;RPL37;RPL8;RPL29;RPL19,Selenocysteine Synthesis R-HSA-2408557,Selenocysteine Synthesis R-HSA-2408557 [REAC],9.052624267676695
Fibro-NPCs,up_in_severe,REAC,Reactome_2022,3,Viral mRNA Translation R-HSA-192823,2.7759076036004994e-11,8.858817039461118e-10,51.019255455712454,1240.1484226934233,8,RPS14;RPS19;RPL27A;RPLP2;RPL37;RPL8;RPL29;RPL19,Viral mRNA Translation R-HSA-192823,Viral mRNA Translation R-HSA-192823 [REAC],9.052624267676695
Fibro-NPCs,up_in_severe,REAC,Reactome_2022,4,Eukaryotic Translation Elongation R-HSA-156842,2.7759076036004994e-11,8.858817039461118e-10,51.019255455712454,1240.1484226934233,8,RPS14;RPS19;RPL27A;RPLP2;RPL37;RPL8;RPL29;RPL19,Eukaryotic Translation Elongation R-HSA-156842,Eukaryotic Translation Elongation R-HSA-156842 [REAC],9.052624267676695
Fibro-NPCs,up_in_severe,REAC,Reactome_2022,5,Eukaryotic Translation Termination R-HSA-72764,2.7759076036004994e-11,8.858817039461118e-10,51.019255455712454,1240.1484226934233,8,RPS14;RPS19;RPL27A;RPLP2;RPL37;RPL8;RPL29;RPL19,Eukaryotic Translation Termination R-HSA-72764,Eukaryotic Translation Termination R-HSA-72764 [REAC],9.052624267676695
Fibro-reg NPCs,up_in_severe,REAC,Reactome_2022,1,Extracellular Matrix Organization R-HSA-1474244,8.108951942582806e-11,1.5082650613204017e-8,16.910967741935483,392.93423955890563,12,COMP;COL1A1;MMP14;COL3A1;SPARC;COL1A2;COL14A1;MMP2;COL6A2;BGN;PCOLCE;ASPN,Extracellular Matrix Organization R-HSA-1474244,Extracellular Matrix Organization R-HSA-1474244 [REAC],7.821522329186972
Fibro-reg NPCs,up_in_severe,REAC,Reactome_2022,2,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,5.964364004990691e-8,5.546858524641343e-6,34.91276346604216,580.76957190538,6,COL1A1;COL3A1;COL1A2;COL14A1;COL6A2;PCOLCE,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814 [REAC],5.255952910874569
Fibro-reg NPCs,up_in_severe,REAC,Reactome_2022,3,Collagen Chain Trimerization R-HSA-8948216,2.4029209873875834e-7,1.4898110121803017e-5,44.75708502024292,682.1611089590097,5,COL1A1;COL3A1;COL1A2;COL14A1;COL6A2,Collagen Chain Trimerization R-HSA-8948216,Collagen Chain Trimerization R-HSA-8948216 [REAC],4.82686881989166
Fibro-reg NPCs,up_in_severe,REAC,Reactome_2022,4,Collagen Formation R-HSA-1474290,3.521169789101236e-7,1.6373439519320747e-05,25.323979591836736,376.29667047600816,6,COL1A1;COL3A1;COL1A2;COL14A1;COL6A2;PCOLCE,Collagen Formation R-HSA-1474290,Collagen Formation R-HSA-1474290 [REAC],4.785860080065449
Fibro-reg NPCs,up_in_severe,REAC,Reactome_2022,5,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,8.982887583367487e-7,3.341634181012705e-5,33.54588394062078,467.05176956358724,5,COL1A1;COL3A1;COL1A2;COL6A2;PCOLCE,Assembly Of Collagen Fibrils And Other Multimeric Struc...,Assembly Of Collagen Fibrils And Other Multimeric Struc... [REAC],4.476041095395173
Fibro-reg NPCs,up_in_severe,KEGG,KEGG_2021_Human,1,Protein digestion and absorption,7.837888070288057e-7,5.800037172013162e-5,21.915684830633285,308.1153794874734,6,COL1A1;COL3A1;COL1A2;COL14A1;ELN;COL6A2,Protein digestion and absorption,Protein digestion and absorption [KEGG],4.236569223066637
Hom-NPCs,up_in_severe,REAC,Reactome_2022,1,Peptide Chain Elongation R-HSA-156902,1.5764382924213023e-21,1.8793355146029103e-19,56.668571428571425,2714.3746405108536,16,RPS9;RPLP1;RPLP0;RPS27L;RPL8;RPL9;RPS14;RPS19;RPS29;RPL27A;FAU;RPL29;RPL18;RPL39;RPS10;RPL28,Peptide Chain Elongation R-HSA-156902,Peptide Chain Elongation R-HSA-156902 [REAC],18.72599567911555
Hom-NPCs,up_in_severe,REAC,Reactome_2022,2,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,1.666017381807675e-21,1.8793355146029103e-19,46.85227430797051,2241.593229873786,17,RPS9;SSR4;RPLP1;RPLP0;RPS27L;RPL8;RPL9;RPS14;RPS19;RPS29;RPL27A;FAU;RPL29;RPL18;RPL39;RPS10;RPL28,SRP-dependent Cotranslational Protein Targeting To Memb...,SRP-dependent Cotranslational Protein Targeting To Memb... [REAC],18.72599567911555
Hom-NPCs,up_in_severe,REAC,Reactome_2022,3,Viral mRNA Translation R-HSA-192823,3.448322045142955e-21,1.8793355146029103e-19,53.5945945945946,2525.1843140885767,16,RPS9;RPLP1;RPLP0;RPS27L;RPL8;RPL9;RPS14;RPS19;RPS29;RPL27A;FAU;RPL29;RPL18;RPL39;RPS10;RPL28,Viral mRNA Translation R-HSA-192823,Viral mRNA Translation R-HSA-192823 [REAC],18.72599567911555
Hom-NPCs,up_in_severe,REAC,Reactome_2022,4,Selenocysteine Synthesis R-HSA-2408557,3.448322045142955e-21,1.8793355146029103e-19,53.5945945945946,2525.1843140885767,16,RPS9;RPLP1;RPLP0;RPS27L;RPL8;RPL9;RPS14;RPS19;RPS29;RPL27A;FAU;RPL29;RPL18;RPL39;RPS10;RPL28,Selenocysteine Synthesis R-HSA-2408557,Selenocysteine Synthesis R-HSA-2408557 [REAC],18.72599567911555
Hom-NPCs,up_in_severe,REAC,Reactome_2022,5,Eukaryotic Translation Elongation R-HSA-156842,3.448322045142955e-21,1.8793355146029103e-19,53.5945945945946,2525.1843140885767,16,RPS9;RPLP1;RPLP0;RPS27L;RPL8;RPL9;RPS14;RPS19;RPS29;RPL27A;FAU;RPL29;RPL18;RPL39;RPS10;RPL28,Eukaryotic Translation Elongation R-HSA-156842,Eukaryotic Translation Elongation R-HSA-156842 [REAC],18.72599567911555
Hom-NPCs,up_in_severe,REAC,Reactome_2022,6,Eukaryotic Translation Termination R-HSA-72764,3.448322045142955e-21,1.8793355146029103e-19,53.5945945945946,2525.1843140885767,16,RPS9;RPLP1;RPLP0;RPS27L;RPL8;RPL9;RPS14;RPS19;RPS29;RPL27A;FAU;RPL29;RPL18;RPL39;RPS10;RPL28,Eukaryotic Translation Termination R-HSA-72764,Eukaryotic Translation Termination R-HSA-72764 [REAC],18.72599567911555
Hom/Reg-like NPCs,up_in_severe,REAC,Reactome_2022,1,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,8.918315526607074e-12,1.4635466723211108e-9,24.40609592111161,620.9622003160414,11,RPS14;RPS9;RPS19;SSR4;RPLP1;RPLP0;RPL36;RPL8;RPS11;RPL29;RPL39,SRP-dependent Cotranslational Protein Targeting To Memb...,SRP-dependent Cotranslational Protein Targeting To Memb... [REAC],8.834593423412413
Hom/Reg-like NPCs,up_in_severe,REAC,Reactome_2022,2,Selenoamino Acid Metabolism R-HSA-2408522,1.6217295723280717e-11,1.4635466723211108e-9,22.97741663149008,570.8726020383142,11,RPS14;RPS9;NNMT;RPS19;RPLP1;RPLP0;RPL36;RPL8;RPS11;RPL29;RPL39,Selenoamino Acid Metabolism R-HSA-2408522,Selenoamino Acid Metabolism R-HSA-2408522 [REAC],8.834593423412413
Hom/Reg-like NPCs,up_in_severe,REAC,Reactome_2022,3,Cellular Responses To Stimuli R-HSA-8953897,1.884918045987756e-11,1.4635466723211108e-9,7.297195421378428,180.20096945162672,22,TSPYL2;RPS9;GPX3;RPLP1;GSTP1;RPLP0;MT1X;RPL8;SOD3;RPS14;MT2A;RPS19;MAPKAPK2;ID1;LMNA;RPL36;MT1G;P4HB;RPS11;RPL29;RPL39;FKBP5,Cellular Responses To Stimuli R-HSA-8953897,Cellular Responses To Stimuli R-HSA-8953897 [REAC],8.834593423412413
Hom/Reg-like NPCs,up_in_severe,REAC,Reactome_2022,4,Peptide Chain Elongation R-HSA-156902,2.1489878430041115e-11,1.4635466723211108e-9,28.043293718166385,688.8397363534262,10,RPS14;RPS9;RPS19;RPLP1;RPLP0;RPL36;RPL8;RPS11;RPL29;RPL39,Peptide Chain Elongation R-HSA-156902,Peptide Chain Elongation R-HSA-156902 [REAC],8.834593423412413
Hom/Reg-like NPCs,up_in_severe,REAC,Reactome_2022,5,Viral mRNA Translation R-HSA-192823,3.413519935442824e-11,1.4635466723211108e-9,26.635752688172044,641.9400723890037,10,RPS14;RPS9;RPS19;RPLP1;RPLP0;RPL36;RPL8;RPS11;RPL29;RPL39,Viral mRNA Translation R-HSA-192823,Viral mRNA Translation R-HSA-192823 [REAC],8.834593423412413
